window,column,name,finite,missing
2018-09-30,14,86472600:dH1,0,168
2018-09-30,15,86472600:dH2,0,168
2018-09-30,16,86472600:dH4,0,168
2018-09-30,17,86472600:dH8,0,168
2018-09-30,18,86500000:H,0,168
2018-09-30,19,86500000:dH0.5,0,168
2018-09-30,20,86500000:dH1,0,168
2018-09-30,21,86500000:dH2,0,168
2018-09-30,22,86500000:dH4,0,168
2018-09-30,23,86500000:dH8,0,168
2018-09-30,24,julho:Q06,168,0
2018-09-30,25,julho:Q,168,0
2018-09-30,26,julho:I,168,0
2018-09-30,27,julho:dQ1,168,0
2018-09-30,28,julho:dQ2,168,0
2018-09-30,29,julho:dQ4,168,0
2018-09-30,30,julho:dQ8,168,0
2018-09-30,31,monte:Q06,168,0
2018-09-30,32,monte:Q,168,0
2018-09-30,33,monte:I,168,0
2018-09-30,34,monte:dQ1,168,0
2018-09-30,35,monte:dQ2,168,0
2018-09-30,36,monte:dQ4,168,0
2018-09-30,37,monte:dQ8,168,0
2018-09-30,38,castro:Q06,168,0
2018-09-30,39,castro:Q,168,0
2018-09-30,40,castro:I,168,0
2018-09-30,41,castro:dQ1,168,0
2018-09-30,42,castro:dQ2,168,0
2018-09-30,43,castro:dQ4,168,0
2018-09-30,44,castro:dQ8,168,0
2018-09-30,45,Baixo Antas:P1,0,168
2018-09-30,46,Baixo Antas:C1,168,0
2018-09-30,47,Baixo Antas:P3,168,0
2018-09-30,48,Baixo Antas:C3,168,0
2018-09-30,49,Baixo Antas:P6,168,0
2018-09-30,50,Baixo Antas:C6,168,0
2018-09-30,51,Baixo Antas:P12,168,0
2018-09-30,52,Baixo Antas:C12,168,0
2018-09-30,53,Baixo Antas:P24,168,0
2018-09-30,54,Baixo Antas:C24,168,0
2018-09-30,55,Baixo Antas:P48,168,0
2018-09-30,56,Baixo Antas:C48,168,0
2018-09-30,57,Baixo Antas:P3lag3,168,0
2018-09-30,58,Baixo Antas:P3lag6,168,0
2018-09-30,59,Baixo Antas:P3lag12,168,0
