nominal_lead_h,column,name,current,training_rows,finite_training_rows,missing_training_rows,minimum,maximum,status
5,25,julho:Q,11.242040000000001,10882,10882,0,0.019,6.148,above_training_max
5,26,julho:I,10.93593,10882,10882,0,0.0,6.195,above_training_max
5,27,julho:dQ1,-0.08145139963149539,10882,10882,0,-0.4140417273808631,0.41879285426389345,within_univariate_range
5,28,julho:dQ2,-0.0734043035877101,10882,10882,0,-0.21325133678655214,0.3337655907298394,within_univariate_range
5,29,julho:dQ4,0.0348245777720495,10882,10882,0,-0.10938639078412082,0.23257240411926003,within_univariate_range
5,30,julho:dQ8,0.17915309237381433,10882,10882,0,-0.06771036061987953,0.1719696243110594,above_training_max
5,31,monte:Q06,4.057632421222427,10882,10882,0,0.046439843790034595,2.9190073129260052,above_training_max
5,32,monte:Q,10.322569999999999,10882,10882,0,0.006,5.962,above_training_max
5,33,monte:I,10.197569999999999,10882,10882,0,0.0,5.97,above_training_max
5,34,monte:dQ1,-0.11110968216339145,10882,10882,0,-0.48474221983946675,0.3523021957686533,within_univariate_range
5,35,monte:dQ2,-0.11896376918650686,10882,10882,0,-0.24989492264228616,0.22600906566502732,within_univariate_range
5,36,monte:dQ4,-0.0848120184186072,10882,10882,0,-0.1046341700799688,0.17117075236796586,within_univariate_range
5,37,monte:dQ8,0.05620839630282104,10882,10882,0,-0.058709426001571946,0.14966588913001427,within_univariate_range
5,38,castro:Q06,3.1487595275591844,10882,10882,0,0.08365116420730187,2.3183542274418922,above_training_max
5,39,castro:Q,6.76445,10882,10882,0,0.016,4.061,above_training_max
5,40,castro:I,6.3202799999999995,10882,10882,0,0.001,4.105,above_training_max
5,41,castro:dQ1,-0.15434473721236808,10882,10882,0,-0.25747399961996087,0.2191084924735245,within_univariate_range
5,42,castro:dQ2,-0.13382236044226303,10882,10882,0,-0.1305422384563114,0.14313986561357062,below_training_min
5,43,castro:dQ4,-0.12071611543101568,10882,10882,0,-0.06571096584058289,0.12053050738453186,below_training_min
5,44,castro:dQ8,-0.024843720476060926,10882,10882,0,-0.05991768005597145,0.12050576459435042,within_univariate_range
5,45,Baixo Antas:P1,1.1797687861272408,10882,10882,0,0.0,9.06184971098264,within_univariate_range
5,46,Baixo Antas:C1,0.9999999999999999,10882,10882,0,0.5115606936416185,0.9999999999999999,within_univariate_range
5,47,Baixo Antas:P3,2.7953757225434153,10882,10882,0,0.0,24.62109826589593,within_univariate_range
5,48,Baixo Antas:C3,0.9999999999999999,10882,10882,0,0.6197013487475916,0.9999999999999999,within_univariate_range
5,49,Baixo Antas:P6,3.690173410404501,10882,10882,0,0.0,45.48193641618488,within_univariate_range
5,50,Baixo Antas:C6,0.9999999999999999,10882,10882,0,0.6870183044315993,0.9999999999999999,within_univariate_range
5,51,Baixo Antas:P12,22.934682080924546,10882,10882,0,0.0,66.61618497109811,within_univariate_range
5,52,Baixo Antas:C12,0.9999999999999999,10882,10882,0,0.710019267822736,0.9999999999999999,within_univariate_range
5,53,Baixo Antas:P24,137.0641618497106,10882,10882,0,0.0,110.67341040462381,above_training_max
5,54,Baixo Antas:C24,0.9999999999999999,10882,10882,0,0.615004816955684,0.9999999999999999,within_univariate_range
5,55,Baixo Antas:P48,145.1936416184964,10882,10876,6,0.0,162.59884393063587,within_univariate_range
5,56,Baixo Antas:C48,0.9999999999999999,10882,10882,0,0.307502408477842,0.9999999999999999,within_univariate_range
5,57,Baixo Antas:P3lag3,0.894797687861086,10882,10882,0,0.0,24.62109826589593,within_univariate_range
5,58,Baixo Antas:P3lag6,4.791329479768855,10882,10882,0,0.0,24.62109826589593,within_univariate_range
5,59,Baixo Antas:P3lag12,27.92196531791909,10882,10882,0,0.0,24.62109826589593,above_training_max
5,60,Carreiro:P1,0.0,10882,10254,628,0.0,18.335413416536667,within_univariate_range
5,61,Carreiro:C1,1.0,10882,10882,0,0.08034321372854913,1.0,within_univariate_range
5,62,Carreiro:P3,0.05928237129483335,10882,10295,587,0.0,33.98424336973464,within_univariate_range
5,63,Carreiro:C3,1.0,10882,10882,0,0.10530421216848673,1.0,within_univariate_range
5,64,Carreiro:P6,0.1519500780030465,10882,10323,559,0.0,53.24430577223099,within_univariate_range
5,65,Carreiro:C6,0.9901196047841914,10882,10882,0,0.10647425897035881,1.0,within_univariate_range
5,66,Carreiro:P12,6.708705148205688,10882,10358,524,0.0,65.47223088923546,within_univariate_range
5,67,Carreiro:C12,0.9901196047841914,10882,10882,0,0.10705928237129486,1.0,within_univariate_range
5,68,Carreiro:P24,60.58346333853305,10882,10447,435,0.0,97.11463338533542,within_univariate_range
5,69,Carreiro:C24,0.9703588143525741,10882,10882,0,0.26433307332293293,0.999707488299532,within_univariate_range
5,70,Carreiro:P48,61.195319812792036,10882,10548,334,0.0,128.71232449297975,within_univariate_range
5,71,Carreiro:C48,0.9724063962558502,10882,10882,0,0.3297744409776391,0.9998537441497661,within_univariate_range
5,72,Carreiro:P3lag3,0.09266770670821314,10882,10295,587,0.0,33.98424336973464,within_univariate_range
5,73,Carreiro:P3lag6,0.7613104524180172,10882,10298,584,0.0,33.98424336973464,within_univariate_range
