at,epoch,scope,classification,level_approved_m,raw_level_cm,raw_level_qc,raw_flow,raw_flow_qc,source_path,record_start_line,approved_q_in_other_preserved_xml
2026-01-02T02:45:00-03:00,1767332700.0,other,no_exact_record,,,,,,,,0
2026-01-02T03:00:00-03:00,1767333600.0,other,no_exact_record,,,,,,,,0
2026-01-02T03:15:00-03:00,1767334500.0,other,no_exact_record,,,,,,,,0
2026-01-02T03:30:00-03:00,1767335400.0,other,no_exact_record,,,,,,,,0
2026-01-02T03:45:00-03:00,1767336300.0,other,no_exact_record,,,,,,,,0
2026-01-02T04:00:00-03:00,1767337200.0,other,no_exact_record,,,,,,,,0
2026-01-02T04:15:00-03:00,1767338100.0,other,no_exact_record,,,,,,,,0
2026-01-02T04:30:00-03:00,1767339000.0,other,no_exact_record,,,,,,,,0
2026-01-02T04:45:00-03:00,1767339900.0,other,no_exact_record,,,,,,,,0
2026-01-02T05:00:00-03:00,1767340800.0,other,no_exact_record,,,,,,,,0
2026-01-02T05:15:00-03:00,1767341700.0,other,no_exact_record,,,,,,,,0
2026-01-02T05:30:00-03:00,1767342600.0,other,no_exact_record,,,,,,,,0
2026-01-02T05:45:00-03:00,1767343500.0,other,no_exact_record,,,,,,,,0
2026-01-02T06:00:00-03:00,1767344400.0,other,no_exact_record,,,,,,,,0
2026-01-02T06:15:00-03:00,1767345300.0,other,no_exact_record,,,,,,,,0
2026-01-02T06:30:00-03:00,1767346200.0,other,no_exact_record,,,,,,,,0
2026-01-02T06:45:00-03:00,1767347100.0,other,no_exact_record,,,,,,,,0
2026-01-02T07:15:00-03:00,1767348900.0,other,no_exact_record,,,,,,,,0
2026-01-02T07:30:00-03:00,1767349800.0,other,no_exact_record,,,,,,,,0
2026-01-02T07:45:00-03:00,1767350700.0,other,no_exact_record,,,,,,,,0
2026-01-02T08:00:00-03:00,1767351600.0,other,no_exact_record,,,,,,,,0
2026-01-02T08:15:00-03:00,1767352500.0,other,no_exact_record,,,,,,,,0
2026-01-02T08:30:00-03:00,1767353400.0,other,no_exact_record,,,,,,,,0
2026-01-02T08:45:00-03:00,1767354300.0,other,no_exact_record,,,,,,,,0
2026-01-02T09:00:00-03:00,1767355200.0,other,no_exact_record,,,,,,,,0
2026-01-02T09:15:00-03:00,1767356100.0,other,no_exact_record,,,,,,,,0
2026-01-02T09:30:00-03:00,1767357000.0,other,no_exact_record,,,,,,,,0
2026-01-02T09:45:00-03:00,1767357900.0,other,no_exact_record,,,,,,,,0
2026-01-02T10:00:00-03:00,1767358800.0,other,no_exact_record,,,,,,,,0
2026-01-02T10:15:00-03:00,1767359700.0,other,no_exact_record,,,,,,,,0
2026-01-02T10:30:00-03:00,1767360600.0,other,no_exact_record,,,,,,,,0
2026-01-02T10:45:00-03:00,1767361500.0,other,no_exact_record,,,,,,,,0
2026-01-02T11:00:00-03:00,1767362400.0,other,no_exact_record,,,,,,,,0
2026-01-02T11:15:00-03:00,1767363300.0,other,no_exact_record,,,,,,,,0
2026-01-02T11:30:00-03:00,1767364200.0,other,no_exact_record,,,,,,,,0
2026-01-02T11:45:00-03:00,1767365100.0,other,no_exact_record,,,,,,,,0
2026-01-02T12:00:00-03:00,1767366000.0,other,no_exact_record,,,,,,,,0
2026-01-02T12:15:00-03:00,1767366900.0,other,no_exact_record,,,,,,,,0
2026-01-02T12:30:00-03:00,1767367800.0,other,no_exact_record,,,,,,,,0
2026-01-02T12:45:00-03:00,1767368700.0,other,no_exact_record,,,,,,,,0
2026-01-02T13:00:00-03:00,1767369600.0,other,no_exact_record,,,,,,,,0
2026-01-02T13:15:00-03:00,1767370500.0,other,no_exact_record,,,,,,,,0
2026-01-02T13:30:00-03:00,1767371400.0,other,no_exact_record,,,,,,,,0
2026-01-02T13:45:00-03:00,1767372300.0,other,no_exact_record,,,,,,,,0
2026-01-02T14:00:00-03:00,1767373200.0,other,no_exact_record,,,,,,,,0
2026-01-02T14:15:00-03:00,1767374100.0,other,no_exact_record,,,,,,,,0
2026-01-02T14:30:00-03:00,1767375000.0,other,no_exact_record,,,,,,,,0
2026-01-02T14:45:00-03:00,1767375900.0,other,no_exact_record,,,,,,,,0
2026-01-02T15:00:00-03:00,1767376800.0,other,no_exact_record,,,,,,,,0
2026-01-02T15:15:00-03:00,1767377700.0,other,no_exact_record,,,,,,,,0
2026-01-02T15:30:00-03:00,1767378600.0,other,no_exact_record,,,,,,,,0
2026-01-02T15:45:00-03:00,1767379500.0,other,no_exact_record,,,,,,,,0
2026-01-02T16:00:00-03:00,1767380400.0,other,no_exact_record,,,,,,,,0
2026-01-02T16:15:00-03:00,1767381300.0,other,no_exact_record,,,,,,,,0
2026-01-02T16:30:00-03:00,1767382200.0,other,no_exact_record,,,,,,,,0
2026-01-02T16:45:00-03:00,1767383100.0,other,no_exact_record,,,,,,,,0
2026-01-02T17:15:00-03:00,1767384900.0,other,no_exact_record,,,,,,,,0
2026-01-02T17:30:00-03:00,1767385800.0,other,no_exact_record,,,,,,,,0
2026-01-02T17:45:00-03:00,1767386700.0,other,no_exact_record,,,,,,,,0
2026-01-02T18:00:00-03:00,1767387600.0,other,no_exact_record,,,,,,,,0
2026-01-02T18:15:00-03:00,1767388500.0,other,no_exact_record,,,,,,,,0
2026-01-02T18:30:00-03:00,1767389400.0,other,no_exact_record,,,,,,,,0
2026-01-02T18:45:00-03:00,1767390300.0,other,no_exact_record,,,,,,,,0
2026-01-02T19:00:00-03:00,1767391200.0,other,no_exact_record,,,,,,,,0
2026-01-02T19:15:00-03:00,1767392100.0,other,no_exact_record,,,,,,,,0
2026-01-02T19:30:00-03:00,1767393000.0,other,no_exact_record,,,,,,,,0
2026-01-02T19:45:00-03:00,1767393900.0,other,no_exact_record,,,,,,,,0
2026-01-02T20:00:00-03:00,1767394800.0,other,no_exact_record,,,,,,,,0
2026-01-02T20:15:00-03:00,1767395700.0,other,no_exact_record,,,,,,,,0
2026-01-02T20:30:00-03:00,1767396600.0,other,no_exact_record,,,,,,,,0
2026-01-02T20:45:00-03:00,1767397500.0,other,no_exact_record,,,,,,,,0
2026-01-02T21:00:00-03:00,1767398400.0,other,no_exact_record,,,,,,,,0
2026-01-02T21:15:00-03:00,1767399300.0,other,no_exact_record,,,,,,,,0
2026-01-02T21:30:00-03:00,1767400200.0,other,no_exact_record,,,,,,,,0
2026-01-02T21:45:00-03:00,1767401100.0,other,no_exact_record,,,,,,,,0
2026-01-02T22:00:00-03:00,1767402000.0,other,no_exact_record,,,,,,,,0
2026-01-02T22:15:00-03:00,1767402900.0,other,no_exact_record,,,,,,,,0
2026-01-02T22:30:00-03:00,1767403800.0,other,no_exact_record,,,,,,,,0
2026-01-02T22:45:00-03:00,1767404700.0,other,no_exact_record,,,,,,,,0
2026-01-02T23:00:00-03:00,1767405600.0,other,no_exact_record,,,,,,,,0
2026-01-02T23:15:00-03:00,1767406500.0,other,no_exact_record,,,,,,,,0
2026-01-02T23:30:00-03:00,1767407400.0,other,no_exact_record,,,,,,,,0
2026-01-02T23:45:00-03:00,1767408300.0,other,no_exact_record,,,,,,,,0
2026-01-03T00:00:00-03:00,1767409200.0,other,no_exact_record,,,,,,,,0
2026-01-03T00:15:00-03:00,1767410100.0,other,no_exact_record,,,,,,,,0
2026-01-03T00:30:00-03:00,1767411000.0,other,no_exact_record,,,,,,,,0
2026-01-03T00:45:00-03:00,1767411900.0,other,no_exact_record,,,,,,,,0
2026-01-03T01:00:00-03:00,1767412800.0,other,no_exact_record,,,,,,,,0
2026-01-03T01:15:00-03:00,1767413700.0,other,no_exact_record,,,,,,,,0
2026-01-03T01:30:00-03:00,1767414600.0,other,no_exact_record,,,,,,,,0
2026-01-03T01:45:00-03:00,1767415500.0,other,no_exact_record,,,,,,,,0
2026-01-03T02:00:00-03:00,1767416400.0,other,no_exact_record,,,,,,,,0
2026-01-03T02:15:00-03:00,1767417300.0,other,no_exact_record,,,,,,,,0
2026-01-03T02:30:00-03:00,1767418200.0,other,no_exact_record,,,,,,,,0
2026-01-03T02:45:00-03:00,1767419100.0,other,no_exact_record,,,,,,,,0
2026-01-03T03:00:00-03:00,1767420000.0,other,no_exact_record,,,,,,,,0
2026-01-03T03:15:00-03:00,1767420900.0,other,no_exact_record,,,,,,,,0
2026-01-03T03:30:00-03:00,1767421800.0,other,no_exact_record,,,,,,,,0
2026-01-03T03:45:00-03:00,1767422700.0,other,no_exact_record,,,,,,,,0
2026-01-03T04:00:00-03:00,1767423600.0,other,no_exact_record,,,,,,,,0
2026-01-03T04:15:00-03:00,1767424500.0,other,no_exact_record,,,,,,,,0
2026-01-03T04:30:00-03:00,1767425400.0,other,no_exact_record,,,,,,,,0
2026-01-03T04:45:00-03:00,1767426300.0,other,no_exact_record,,,,,,,,0
2026-01-03T05:00:00-03:00,1767427200.0,other,no_exact_record,,,,,,,,0
2026-01-03T05:15:00-03:00,1767428100.0,other,no_exact_record,,,,,,,,0
2026-01-03T05:30:00-03:00,1767429000.0,other,no_exact_record,,,,,,,,0
2026-01-03T05:45:00-03:00,1767429900.0,other,no_exact_record,,,,,,,,0
2026-01-03T06:00:00-03:00,1767430800.0,other,no_exact_record,,,,,,,,0
2026-01-03T06:15:00-03:00,1767431700.0,other,no_exact_record,,,,,,,,0
2026-01-03T06:30:00-03:00,1767432600.0,other,no_exact_record,,,,,,,,0
2026-01-03T06:45:00-03:00,1767433500.0,other,no_exact_record,,,,,,,,0
2026-01-03T07:15:00-03:00,1767435300.0,other,no_exact_record,,,,,,,,0
2026-01-03T07:30:00-03:00,1767436200.0,other,no_exact_record,,,,,,,,0
2026-01-03T07:45:00-03:00,1767437100.0,other,no_exact_record,,,,,,,,0
2026-01-03T08:00:00-03:00,1767438000.0,other,no_exact_record,,,,,,,,0
2026-01-03T08:15:00-03:00,1767438900.0,other,no_exact_record,,,,,,,,0
2026-01-03T08:30:00-03:00,1767439800.0,other,no_exact_record,,,,,,,,0
2026-01-03T08:45:00-03:00,1767440700.0,other,no_exact_record,,,,,,,,0
2026-01-03T09:00:00-03:00,1767441600.0,other,no_exact_record,,,,,,,,0
2026-01-03T09:15:00-03:00,1767442500.0,other,no_exact_record,,,,,,,,0
