source_at,affected_target_pairs,affected_origins,reasons,classification,level_approved_m,source_path,record_start_line
2026-07-07T00:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-07T00:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-07T01:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-07T01:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-07T02:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-07T02:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-07T03:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-07T03:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-07T04:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-07T04:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-07T05:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-07T05:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-07T06:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-07T06:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-07T07:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-07T08:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
