tau_hours,family,horizon_h,group_kind,group,subset,scheduled_rows,observed_n,paired_n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
6,julho_levels,1,trend,falling,all,850,846,845,1,837,0.9905325443786982,0.1430220289028909,0.09328567569479573,0.45173423700713894,0.8922724086285623
6,julho_levels,1,trend,falling,level_ge_7m,114,114,113,1,111,0.9823008849557522,0.18154321294912,0.1538040001301352,0.45322421594669654,0.6708659771482903
6,julho_levels,1,trend,rising,all,458,457,457,0,427,0.9343544857768052,0.18286668465535597,-0.10996367354479031,0.598799400406836,1.3363363795546643
6,julho_levels,1,trend,rising,level_ge_7m,87,87,87,0,71,0.8160919540229885,0.2652632068712037,-0.006077122702215699,1.0985770591539423,1.3363363795546643
6,julho_levels,1,trend,stable,all,627,627,627,0,619,0.9872408293460925,0.09712760574076854,-0.03267067301696455,0.48547443924372785,0.7052775114414715
6,julho_levels,1,trend,stable,level_ge_7m,34,34,34,0,34,1.0,0.1424435361601706,0.11190249814903179,0.49109445859083334,0.4917741345202469
6,julho_levels,1,trend,unknown,all,32,14,9,5,8,0.8888888888888888,0.29325259524329816,0.13633887735372674,0.7136555061731916,0.773071147124412
6,julho_levels,1,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,0.773071147124412,0.773071147124412,0.773071147124412,0.773071147124412
6,julho_levels,2,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,35,1.0,0.11887842866293398,0.003995100962748285,0.29379639742510916,0.30793499698976046
6,julho_levels,2,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,78,0.5864661654135338,0.44995210437362815,0.2173525951933079,1.3913547055200923,2.1256756873033744
6,julho_levels,2,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,45,0.9183673469387755,0.2534019862317924,0.16594201684066226,0.5487871879245384,0.6364265648470795
6,julho_levels,2,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,16,0.8888888888888888,0.1792915710293156,-0.11759689768263984,0.5066623127302133,0.5069708505103057
6,julho_levels,2,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,julho_levels,2,trend,falling,all,850,844,843,1,741,0.8790035587188612,0.22364468013612693,0.13214923948345106,0.7340817622764297,1.0522958392511654
6,julho_levels,2,trend,falling,level_ge_7m,110,110,109,1,83,0.7614678899082569,0.2971144481545545,0.26426733586206425,0.8250399634896769,0.9915040332100844
6,julho_levels,2,trend,rising,all,457,456,456,0,384,0.8421052631578947,0.2625279618234695,-0.14613740658272864,0.929110363428108,2.1256756873033744
6,julho_levels,2,trend,rising,level_ge_7m,92,92,92,0,63,0.6847826086956522,0.4234478611467913,-0.011469199739019565,1.9304597774248047,2.1256756873033744
6,julho_levels,2,trend,stable,all,627,627,627,0,589,0.9393939393939394,0.15594284619570312,-0.044251554543767585,0.7747106391308252,1.0346967140177243
6,julho_levels,2,trend,stable,level_ge_7m,33,33,33,0,28,0.8484848484848485,0.2280632904330778,0.19795791812721042,0.8158349409550331,0.8189906084581846
6,julho_levels,2,trend,unknown,all,32,16,9,7,6,0.6666666666666666,0.40072828148036366,0.18340856444929954,0.7539810969558678,0.7795538301379388
