tau_hours,origin,target_time,recomputed_m,saved_m,abs_difference_m
2,2026-08-13T09:00:00-03:00,2026-08-13T13:00:00-03:00,9.297858310778807,9.297858310778807,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T14:00:00-03:00,9.427326082124702,9.427326082124702,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T15:00:00-03:00,9.510358689993584,9.510358689993582,1.7763568394002505e-15
2,2026-08-13T09:00:00-03:00,2026-08-13T16:00:00-03:00,9.570317249959663,9.570317249959663,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T17:00:00-03:00,9.59648298237041,9.59648298237041,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T18:00:00-03:00,9.597971171765302,9.597971171765302,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T19:00:00-03:00,9.607950083411604,9.607950083411604,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T20:00:00-03:00,9.649044054343156,9.649044054343156,0.0
2,2026-08-13T09:00:00-03:00,2026-08-13T21:00:00-03:00,9.716830085176065,9.716830085176067,1.7763568394002505e-15
12,2026-07-01T00:00:00-03:00,2026-07-01T01:00:00-03:00,4.561774385578602,4.561774385578602,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T02:00:00-03:00,4.513387079316478,4.513387079316477,8.881784197001252e-16
12,2026-07-01T00:00:00-03:00,2026-07-01T03:00:00-03:00,4.466573903039104,4.466573903039104,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T04:00:00-03:00,4.397094071013134,4.397094071013134,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T05:00:00-03:00,4.325508221414049,4.325508221414049,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T06:00:00-03:00,4.257324698939238,4.257324698939238,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T07:00:00-03:00,4.2020821165740845,4.2020821165740845,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T08:00:00-03:00,4.163185191421607,4.163185191421608,8.881784197001252e-16
12,2026-07-01T00:00:00-03:00,2026-07-01T09:00:00-03:00,4.155723258711401,4.155723258711401,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T10:00:00-03:00,4.169900673303935,4.169900673303935,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T11:00:00-03:00,4.200366682373982,4.200366682373982,0.0
12,2026-07-01T00:00:00-03:00,2026-07-01T12:00:00-03:00,4.242757188834352,4.242757188834352,0.0
12,2026-07-02T21:00:00-03:00,2026-07-02T22:00:00-03:00,7.310110176271614,7.310110176271614,0.0
12,2026-07-02T21:00:00-03:00,2026-07-02T23:00:00-03:00,7.543529699521407,7.543529699521408,8.881784197001252e-16
12,2026-07-02T21:00:00-03:00,2026-07-03T00:00:00-03:00,7.761064787848508,7.761064787848508,0.0
12,2026-07-02T21:00:00-03:00,2026-07-03T01:00:00-03:00,7.924313115620014,7.924313115620014,0.0
12,2026-07-02T21:00:00-03:00,2026-07-03T02:00:00-03:00,8.046017294309511,8.046017294309511,0.0
12,2026-07-02T21:00:00-03:00,2026-07-03T03:00:00-03:00,8.167883845822033,8.167883845822033,0.0
12,2026-07-02T21:00:00-03:00,2026-07-03T04:00:00-03:00,8.272020228511373,8.272020228511373,0.0
12,2026-07-02T21:00:00-03:00,2026-07-03T05:00:00-03:00,8.354486270152378,8.354486270152378,0.0
12,2026-07-02T21:00:00-03:00,2026-07-03T06:00:00-03:00,8.415659131161057,8.415659131161057,0.0
