tau_hours,horizon_h,subset,family,population,n,hits,hit_fraction,mae_m,rmse_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
2,6,all,reference,common_three,1926,1525,0.7917964693665628,0.3775536814722513,0.5748456971470703,-0.029202111632670363,0.7224424582929527,2.200901678648459,4.985746705344257
12,6,all,reference,individual,1926,1469,0.7627206645898235,0.35359092983921536,0.5257400232457039,-0.006988466782859014,0.7556927938927549,1.244055500108281,4.682998924381193
12,6,all,reference,common_three,1926,1469,0.7627206645898235,0.35359092983921536,0.5257400232457039,-0.006988466782859014,0.7556927938927549,1.244055500108281,4.682998924381193
6,6,all,julho_levels,individual,1926,1458,0.7570093457943925,0.3640820566980719,0.5249514077423602,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209
6,6,all,julho_levels,common_three,1926,1458,0.7570093457943925,0.3640820566980719,0.5249514077423602,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209
2,6,all,julho_levels,individual,1926,1527,0.7928348909657321,0.3846874275712628,0.5644632220909926,0.020523085925374326,0.7000350756001834,2.128793265999059,4.356867017166412
2,6,all,julho_levels,common_three,1926,1527,0.7928348909657321,0.3846874275712628,0.5644632220909926,0.020523085925374326,0.7000350756001834,2.128793265999059,4.356867017166412
12,6,all,julho_levels,individual,1926,1387,0.7201453790238836,0.36621233691551286,0.528471905743601,0.04017654574163445,0.7841138205477669,1.2998562745615005,4.061902098043779
12,6,all,julho_levels,common_three,1926,1387,0.7201453790238836,0.36621233691551286,0.528471905743601,0.04017654574163445,0.7841138205477669,1.2998562745615005,4.061902098043779
6,6,level_ge_7m,reference,individual,235,117,0.4978723404255319,0.7848179087146162,1.1204235695536384,0.261979884540913,1.740901469373758,3.2816327316812903,4.815243764623784
6,6,level_ge_7m,reference,common_three,235,117,0.4978723404255319,0.7848179087146162,1.1204235695536384,0.261979884540913,1.740901469373758,3.2816327316812903,4.815243764623784
2,6,level_ge_7m,reference,individual,235,94,0.4,0.9744617441043338,1.3047790769248537,0.45235860042089665,2.2959830594841595,2.816261276653214,4.985746705344257
2,6,level_ge_7m,reference,common_three,235,94,0.4,0.9744617441043338,1.3047790769248537,0.45235860042089665,2.2959830594841595,2.816261276653214,4.985746705344257
12,6,level_ge_7m,reference,individual,235,139,0.5914893617021276,0.6609424738951678,1.0280975883135492,0.10910555169714646,1.4254533504753228,3.6554560321873293,4.682998924381193
12,6,level_ge_7m,reference,common_three,235,139,0.5914893617021276,0.6609424738951678,1.0280975883135492,0.10910555169714646,1.4254533504753228,3.6554560321873293,4.682998924381193
6,6,level_ge_7m,julho_levels,individual,235,115,0.48936170212765956,0.7578530200612832,1.0570249107111562,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
6,6,level_ge_7m,julho_levels,common_three,235,115,0.48936170212765956,0.7578530200612832,1.0570249107111562,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
2,6,level_ge_7m,julho_levels,individual,235,98,0.41702127659574467,0.9519056950949414,1.249832411904998,0.48502181732117655,2.2502221487299328,2.6848826167587494,4.356867017166412
