phase,horizon_h,subset,population,scheduled_rows,observed_targets,n,failures,control_hits,candidate_hits,change_hits,control_mae_m,candidate_mae_m,change_mae_m,control_bias_m,candidate_bias_m,change_bias_m,control_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,control_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,11,level_ge_7m,missing24,629,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,12,all,full_schedule,6540,6506,6466,40,5249.0,5215.0,-34.0,0.3268582657649666,0.3802446646276226,0.05338639886265595,0.11963700648451894,0.17383119453644266,0.05419418805192372,1.370846424054081,3.2739814536520644,1.9031350295979834,3.717391928882293,4.185498488175121,0.46810655929282774
validation,12,all,complete24,5912,5879,5879,0,4843.0,4823.0,-20.0,0.3167512178798855,0.37380685567544125,0.057055637795555725,0.11510837400226699,0.17624635406549397,0.061137980063226974,1.2864206271699814,3.3646889542434715,2.07826832707349,3.717391928882293,4.185498488175121,0.46810655929282774
validation,12,all,missing24,628,627,587,40,406.0,392.0,-14.0,0.4280837078712551,0.4447214599084973,0.016637752037242215,0.16499276519518222,0.14964256954275865,-0.01535019565242357,1.7489608022094945,1.8265004901480626,0.07753968793856814,3.079960103438171,4.13747039256411,1.0575102891259385
validation,12,level_ge_7m,full_schedule,6540,28,28,0,7.0,11.0,4.0,0.9084925009708122,0.8421427856464021,-0.06634971532441014,0.637657899731453,0.7269799371474708,0.08932203741601774,2.572327723114171,2.1748508174117975,-0.39747690570237326,2.619470094800553,2.6933975093042157,0.0739274145036628
validation,12,level_ge_7m,complete24,5912,28,28,0,7.0,11.0,4.0,0.9084925009708122,0.8421427856464021,-0.06634971532441014,0.637657899731453,0.7269799371474708,0.08932203741601774,2.572327723114171,2.1748508174117975,-0.39747690570237326,2.619470094800553,2.6933975093042157,0.0739274145036628
validation,12,level_ge_7m,missing24,628,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
test,1,all,full_schedule,1967,1944,1939,5,1932.0,1934.0,2.0,0.03417566632254777,0.033498768403576636,-0.000676897918971131,-0.00037019778640203215,0.002085652002370547,0.002455849788772579,0.18807584936837288,0.1896114395281401,0.0015355901597672306,1.284834339803509,1.0610535741969782,-0.2237807656065307
test,1,all,complete24,1353,1350,1350,0,1350.0,1350.0,0.0,0.028796905814397884,0.02859363914440068,-0.0002032666699972041,0.0009979671407739552,0.0027162865671471565,0.0017183194263732013,0.16400253994252656,0.15422929463253648,-0.009773245309990075,0.4615443702601105,0.3527421113204223,-0.1088022589396882
test,1,all,missing24,614,594,589,5,582.0,584.0,2.0,0.046503894991482136,0.04474142460032965,-0.0017624703911524875,-0.0035060596738172834,0.0006402247316601518,0.0041462844054774356,0.25484412471888784,0.2766390401043599,0.02179491538547207,1.284834339803509,1.0610535741969782,-0.2237807656065307
test,1,level_ge_7m,full_schedule,1967,237,236,1,230.0,231.0,1.0,0.07747194053705365,0.06735151255341046,-0.010120427983643196,-0.006832008882132252,0.002523324211898609,0.009355333094030862,0.5787276663094516,0.43689689792933867,-0.14183076838011294,1.284834339803509,1.0610535741969782,-0.2237807656065307
test,1,level_ge_7m,complete24,1353,144,144,0,144.0,144.0,0.0,0.050459349309773,0.04175394881638968,-0.008705400493383322,0.0008971132753594377,0.0022736899110772308,0.001376576635717793,0.22944491102812148,0.18148273684902097,-0.04796217417910051,0.3603095106937886,0.2192286551433824,-0.14108085555040617
test,1,level_ge_7m,missing24,614,93,92,1,86.0,87.0,1.0,0.11975251811018861,0.1074172644896169,-0.01233525362057171,-0.018929765302554028,0.0029140561610103313,0.02184382146356436,0.9950525636857123,0.8001926902767311,-0.19485987340898114,1.284834339803509,1.0610535741969782,-0.2237807656065307
test,2,all,full_schedule,1966,1943,1936,7,1916.0,1916.0,0.0,0.06050415557115221,0.05856740431200687,-0.0019367512591453445,0.003778606149644099,0.007749979465555996,0.003971373315911898,0.3410080390290465,0.3364357094645765,-0.004572329564469957,2.4854087637465963,2.085350770233495,-0.40005799351310145
test,2,all,complete24,1352,1348,1348,0,1343.0,1344.0,1.0,0.050230393307000035,0.049125867260738545,-0.0011045260462614892,0.005540282128065949,0.008576668978336383,0.003036386850270434,0.26213798257547516,0.2676564282592269,0.00551844568375176,0.6421022110865842,0.6269775398604678,-0.015124671226116382
test,2,all,missing24,614,595,588,7,573.0,572.0,-1.0,0.08405693028556914,0.08021228857239751,-0.0038446417131716287,-0.0002600659913638151,0.005854779698161503,0.006114845689525318,0.5831583766529707,0.5544545031568108,-0.028703873496159882,2.4854087637465963,2.085350770233495,-0.40005799351310145
