month,id,variable,from_time_original,to_time_original,from_value,to_value,difference,source_file,from_line,to_line
2,JIUHMC,val_vazaoafluente,2023-02-04 23:59:00,2023-02-05 01:00:00,118.0,40.0,-78.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41001,41002
2,JIUHMC,val_vazaodefluente,2023-02-04 23:59:00,2023-02-05 01:00:00,177.0,40.0,-137.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41001,41002
2,JIUHMC,val_vazaodefluente,2023-02-05 23:59:00,2023-02-06 01:00:00,181.0,46.0,-135.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41025,41026
2,JIUHMC,val_vazaodefluente,2023-02-20 18:00:00,2023-02-20 19:00:00,19.0,147.0,128.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41375,41376
2,JIUHMC,val_vazaodefluente,2023-02-20 19:00:00,2023-02-20 20:00:00,147.0,270.0,123.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41376,41377
2,JIUHMC,val_vazaodefluente,2023-02-10 19:00:00,2023-02-10 20:00:00,19.0,123.0,104.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41140,41141
2,JIUHMC,val_vazaoturbinada,2023-02-04 23:59:00,2023-02-05 01:00:00,158.0,22.0,-136.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41001,41002
2,JIUHMC,val_vazaoturbinada,2023-02-05 23:59:00,2023-02-06 01:00:00,162.0,27.0,-135.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41025,41026
2,JIUHMC,val_vazaoturbinada,2023-02-20 18:00:00,2023-02-20 19:00:00,0.0,128.0,128.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41375,41376
2,JIUHMC,val_vazaoturbinada,2023-02-20 19:00:00,2023-02-20 20:00:00,128.0,252.0,124.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41376,41377
2,JIUHMC,val_vazaoturbinada,2023-02-10 19:00:00,2023-02-10 20:00:00,0.0,104.0,104.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41140,41141
2,JIUHMC,val_vazaovertida,2023-02-23 10:00:00,2023-02-23 11:00:00,13.0,26.0,13.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41439,41440
2,JIUHMC,val_vazaovertida,2023-02-23 15:00:00,2023-02-23 16:00:00,20.0,13.0,-7.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41444,41445
2,JIUHMC,val_vazaovertida,2023-02-23 11:00:00,2023-02-23 12:00:00,26.0,20.0,-6.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41440,41441
2,JIUHMC,val_vazaovertida,2023-02-01 01:00:00,2023-02-01 02:00:00,13.0,13.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40906,40907
2,JIUHMC,val_vazaovertida,2023-02-01 02:00:00,2023-02-01 03:00:00,13.0,13.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40907,40908
2,JIUHMC,val_vazaooutrasestruturas,2023-02-23 10:00:00,2023-02-23 11:00:00,6.0,0.0,-6.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41439,41440
2,JIUHMC,val_vazaooutrasestruturas,2023-02-23 15:00:00,2023-02-23 16:00:00,0.0,6.0,6.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41444,41445
2,JIUHMC,val_vazaooutrasestruturas,2023-02-01 01:00:00,2023-02-01 02:00:00,6.0,6.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40906,40907
2,JIUHMC,val_vazaooutrasestruturas,2023-02-01 02:00:00,2023-02-01 03:00:00,6.0,6.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40907,40908
2,JIUHMC,val_vazaooutrasestruturas,2023-02-01 03:00:00,2023-02-01 04:00:00,6.0,6.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40908,40909
2,JIUHMC,val_vazaotransferida,2023-02-01 01:00:00,2023-02-01 02:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40906,40907
2,JIUHMC,val_vazaotransferida,2023-02-01 02:00:00,2023-02-01 03:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40907,40908
2,JIUHMC,val_vazaotransferida,2023-02-01 03:00:00,2023-02-01 04:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40908,40909
2,JIUHMC,val_vazaotransferida,2023-02-01 04:00:00,2023-02-01 05:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40909,40910
2,JIUHMC,val_vazaotransferida,2023-02-01 05:00:00,2023-02-01 06:00:00,0.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40910,40911
2,JIUHMC,val_vazaovertidanaoturbinavel,2023-02-23 10:00:00,2023-02-23 11:00:00,13.0,26.0,13.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41439,41440
2,JIUHMC,val_vazaovertidanaoturbinavel,2023-02-23 11:00:00,2023-02-23 12:00:00,26.0,19.0,-7.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41440,41441
2,JIUHMC,val_vazaovertidanaoturbinavel,2023-02-23 15:00:00,2023-02-23 16:00:00,19.0,13.0,-6.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,41444,41445
2,JIUHMC,val_vazaovertidanaoturbinavel,2023-02-01 01:00:00,2023-02-01 02:00:00,13.0,13.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40906,40907
2,JIUHMC,val_vazaovertidanaoturbinavel,2023-02-01 02:00:00,2023-02-01 03:00:00,13.0,13.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,40907,40908
2,JIUHQJ,val_nivelmontante,2023-02-23 18:00:00,2023-02-23 19:00:00,103.48,103.38,-0.10000000000000853,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36777,36778
2,JIUHQJ,val_nivelmontante,2023-02-24 13:00:00,2023-02-24 14:00:00,103.41,103.51,0.10000000000000853,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36796,36797
2,JIUHQJ,val_nivelmontante,2023-02-04 23:00:00,2023-02-04 23:59:00,103.39,103.49,0.09999999999999432,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36330,36331
2,JIUHQJ,val_nivelmontante,2023-02-23 23:00:00,2023-02-23 23:59:00,103.21,103.11,-0.09999999999999432,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36782,36783
2,JIUHQJ,val_nivelmontante,2023-02-04 21:00:00,2023-02-04 22:00:00,103.21,103.3,0.09000000000000341,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36328,36329
2,JIUHQJ,val_niveljusante,2023-02-13 16:00:00,2023-02-13 17:00:00,62.02,69.02,6.999999999999993,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36539,36540
2,JIUHQJ,val_niveljusante,2023-02-13 15:00:00,2023-02-13 16:00:00,69.0,62.02,-6.979999999999997,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36538,36539
2,JIUHQJ,val_niveljusante,2023-02-09 08:00:00,2023-02-09 09:00:00,69.98,68.97,-1.0100000000000051,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36435,36436
2,JIUHQJ,val_niveljusante,2023-02-09 07:00:00,2023-02-09 08:00:00,68.98,69.98,1.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36434,36435
2,JIUHQJ,val_niveljusante,2023-02-24 17:00:00,2023-02-24 18:00:00,70.05,71.05,1.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36800,36801
2,JIUHQJ,val_volumeutil,2023-02-04 23:00:00,2023-02-04 23:59:00,39.0,49.0,10.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36330,36331
2,JIUHQJ,val_volumeutil,2023-02-23 18:00:00,2023-02-23 19:00:00,48.0,38.0,-10.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36777,36778
2,JIUHQJ,val_volumeutil,2023-02-23 23:00:00,2023-02-23 23:59:00,21.0,11.0,-10.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36782,36783
2,JIUHQJ,val_volumeutil,2023-02-24 13:00:00,2023-02-24 14:00:00,41.0,51.0,10.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,36796,36797
