phase,horizon_h,population,region,rows,amount_cells,amount_missing,amount_finite_zero,rows_amount_all_missing,coverage_cells,coverage_missing,coverage_below_half,coverage_min,coverage_median,coverage_max
validation,6,original_training,Alto Antas,4354,39186,41,19956,0,26124,0,31,0.0992246513654852,0.9561164374717541,0.9991401155658854
validation,6,original_training,Tainhas,4354,39186,38,24771,0,26124,0,30,0.11402834699453551,1.0,1.0
validation,6,added2023_training,Baixo Antas,493,4437,3706,177,410,2958,0,2475,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,6,added2023_training,Carreiro,493,4437,3690,193,410,2958,0,2460,0.046801872074883,0.0514820592823713,0.781371879875195
validation,6,added2023_training,Prata-Turvo,493,4437,0,1579,0,2958,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,6,added2023_training,Alto Antas,493,4437,2,1285,0,2958,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,6,added2023_training,Tainhas,493,4437,1,2152,0,2958,0,1,0.3907103825136612,1.0,1.0
validation,6,combined_training,Baixo Antas,4847,43623,3863,24248,410,29082,0,2624,0.1512373554913295,0.9030437138728323,0.994084176300578
validation,6,combined_training,Carreiro,4847,43623,4078,19807,410,29082,0,2687,0.046801872074883,0.9637285491419656,0.999561232449298
validation,6,combined_training,Prata-Turvo,4847,43623,34,22679,0,29082,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,6,combined_training,Alto Antas,4847,43623,43,21241,0,29082,0,33,0.0992246513654852,0.9494948027632513,0.9991401155658854
validation,6,combined_training,Tainhas,4847,43623,39,26923,0,29082,0,31,0.11402834699453551,1.0,1.0
validation,6,evaluation_high_full_schedule,Baixo Antas,28,252,0,19,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,6,evaluation_high_full_schedule,Carreiro,28,252,0,14,0,168,0,0,0.891185647425897,0.9404819942797713,0.9964898595943839
validation,6,evaluation_high_full_schedule,Prata-Turvo,28,252,0,19,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
