horizon_h,subset,population,family,observed_targets,n,excluded_n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
10,all,common_four,observed_julho,1935,943,992,637,0.6755037115588547,0.42030550607448586,0.0373594382594497,0.8420228779795678,1.6556194993192563,2.0974136232173617
10,all,common_four,observed_carreiro,1935,943,992,569,0.6033934252386002,0.5486417029303129,0.2502947334099544,1.0763575250934705,2.031928809936049,7.158107039844813
10,all,common_four,observed_both,1935,943,992,635,0.6733828207847296,0.4241916109388409,0.047930933446384535,0.8378901271756355,1.6875609703910368,2.1329018847029335
10,high,individual,reference,237,235,2,88,0.37446808510638296,1.1327552675526111,0.23895508211254737,2.2789270847601975,5.226611203636839,7.189303791286582
10,high,individual,observed_julho,237,134,103,64,0.47761194029850745,0.7507308752360053,0.5312770427706458,1.866516365379321,2.0088778586235785,2.0974136232173617
10,high,individual,observed_carreiro,237,178,59,44,0.24719101123595505,1.393616103788264,0.30219093258593865,2.8905809980740296,5.522875533291012,7.158107039844813
10,high,individual,observed_both,237,98,139,37,0.37755102040816324,0.8949426287436808,0.6515373124953568,1.9658270852182624,2.1094801911379437,2.1329018847029335
10,high,common_four,reference,237,98,139,32,0.32653061224489793,1.405070621869146,0.456839544377194,2.4247189308746635,7.128350460298706,7.189303791286582
10,high,common_four,observed_julho,237,98,139,35,0.35714285714285715,0.8945932804052857,0.6250559328368366,1.938387221146698,2.0144644065509145,2.0974136232173617
10,high,common_four,observed_carreiro,237,98,139,33,0.336734693877551,1.3849532559016264,0.4848120386445072,2.5006165682649106,7.077702252937362,7.158107039844813
10,high,common_four,observed_both,237,98,139,37,0.37755102040816324,0.8949426287436808,0.6515373124953568,1.9658270852182624,2.1094801911379437,2.1329018847029335
11,all,individual,reference,1934,1916,18,1214,0.6336116910229646,0.5307551886540341,0.06094497638568482,1.036460122050061,2.16195107855498,8.086268435347241
11,all,individual,observed_julho,1934,1021,913,699,0.6846229187071499,0.41360951905406534,0.0439006742283244,0.8111244095623613,1.6124591446215648,2.103667218478831
11,all,individual,observed_carreiro,1934,1664,270,1056,0.6346153846153846,0.544311609667597,0.08590125537472582,1.0642216667824562,2.169730228864907,8.05338300811593
11,all,individual,observed_both,1934,873,1061,591,0.6769759450171822,0.425654059277421,0.05676329332732464,0.846163414026523,1.764595379955301,2.166336711329878
11,all,common_four,reference,1934,873,1061,500,0.572737686139748,0.5994167462930408,0.2650611646973258,1.1524078610313842,2.282198281439896,8.086268435347241
11,all,common_four,observed_julho,1934,873,1061,592,0.6781214203894617,0.4229526998969486,0.044628794875242496,0.8591625668728617,1.75655060067635,2.103667218478831
11,all,common_four,observed_carreiro,1934,873,1061,505,0.5784650630011455,0.5912502354849597,0.2792141997763802,1.173143539582663,2.1068003327932643,8.05338300811593
11,all,common_four,observed_both,1934,873,1061,591,0.6769759450171822,0.425654059277421,0.05676329332732464,0.846163414026523,1.764595379955301,2.166336711329878
11,high,individual,reference,237,235,2,85,0.3617021276595745,1.245188051447072,0.1931190343620184,2.4378268780134307,5.6486112982088335,8.086268435347241
11,high,individual,observed_julho,237,124,113,57,0.4596774193548387,0.7913847321351257,0.5351709921954872,1.937344611242765,2.0550450922686343,2.103667218478831
11,high,individual,observed_carreiro,237,178,59,46,0.25842696629213485,1.504163679820153,0.25176338664591913,3.2661180929278877,5.858663006373836,8.05338300811593
11,high,individual,observed_both,237,89,148,32,0.3595505617977528,0.9402096904975277,0.6593646874042838,2.03930285287588,2.156205727974189,2.166336711329878
11,high,common_four,reference,237,89,148,31,0.34831460674157305,1.5401986349307826,0.3857956125759226,2.5774743411574264,7.859552344318734,8.086268435347241
11,high,common_four,observed_julho,237,89,148,30,0.33707865168539325,0.9542477462671071,0.6281279049132997,1.996196961758961,2.0800466905032846,2.103667218478831
11,high,common_four,observed_carreiro,237,89,148,32,0.3595505617977528,1.4937592816282452,0.42264776695295164,2.527198550892877,7.696815104452477,8.05338300811593
11,high,common_four,observed_both,237,89,148,32,0.3595505617977528,0.9402096904975277,0.6593646874042838,2.03930285287588,2.156205727974189,2.166336711329878
12,all,individual,reference,1933,1914,19,1159,0.6055381400208987,0.5578625585913922,0.06390580880595645,1.1171171492666232,2.3835822839248406,9.038315647130192
12,all,individual,observed_julho,1933,940,993,650,0.6914893617021277,0.41662316433887225,0.05733247211809612,0.8211398307457872,1.784685719528295,2.1455492468612594
12,all,individual,observed_carreiro,1933,1651,282,1019,0.6172016959418534,0.5700444638995912,0.09284780077318051,1.1209809837694422,2.3331547069493013,8.989911881148496
12,all,individual,observed_both,1933,802,1131,545,0.6795511221945137,0.4280267658784023,0.07047071958073829,0.8432047797035918,1.8228458242702825,2.212946978425988
12,all,common_four,reference,1933,802,1131,423,0.527431421446384,0.6414601523742581,0.28811379159012324,1.211190672906214,2.535434312727169,9.038315647130192
