mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,h,model,phase,validation_score,param,gain,rise_mae_m,high_mae_m
0.1735529363606023,0.2849553456522047,0.02882643219470595,0.3898491241302024,2.4135152321404405,1357,6,linear_corrigido,test,0.31224377709151835,"(100.0, False)",0.0,0.3695012233257108,0.4877907051891519
1.5564006596534612,1.9771192140910794,-1.5491137062705,2.996796047323956,3.3227624845521193,8,6,linear_corrigido,today,0.31224377709151835,"(100.0, False)",0.0,2.689519371148412,
0.14025703787159488,0.18574529521838984,0.04143948697606907,0.2836504779475725,1.3992233738792983,6048,6,log_chuva,validation,0.3116581720653883,"(100.0, False)",0.0,0.22118686946595906,0.12161539892162783
0.17470682689543404,0.26943480048868373,0.017935644148328992,0.4166019086963479,1.716203102838593,1357,6,log_chuva,test,0.3116581720653883,"(100.0, False)",0.0,0.35650544312675586,0.4113633534985144
1.6369383772033808,2.0742865681533904,-1.6285544677825583,3.144310221822622,3.2542252633651136,8,6,log_chuva,today,0.3116581720653883,"(100.0, False)",0.0,2.8305257807428683,
0.18999165175535873,0.2525121089250331,0.11713086580977077,0.39523330414320706,1.9427517094643636,6048,6,linear_sem_interacao,validation,0.3673367968628643,"(100.0, True)",0.0,0.21228398965876166,0.14240630055624948
0.20277108702510852,0.29317433533947834,0.11103012477170474,0.4529192039571117,1.6631530746856473,1357,6,linear_sem_interacao,test,0.3673367968628643,"(100.0, True)",0.0,0.34359060035934724,0.45301192759322667
1.583003268634417,2.0275130451071646,-1.5361766692972907,3.0074405847713055,3.346234217457519,8,6,linear_sem_interacao,today,0.3673367968628643,"(100.0, True)",0.0,2.7734120607818458,
0.09309612590912335,0.1403341648520155,0.04750461668848808,0.20188563101262916,1.7951445183920445,6048,6,arvores_corrigidas,validation,0.20155379222007294,"(15, 'squared_error', True)",0.5,0.1744000752772637,0.042515257344635536
0.14722229515882204,0.25437480019694025,0.014013998393653167,0.33106055988057853,2.5462288685074306,1357,6,arvores_corrigidas,test,0.20155379222007294,"(15, 'squared_error', True)",0.5,0.26664287672416415,0.5102290353386465
1.5979763329629275,2.0474482404117644,-1.5979763329629275,3.0776901854230547,3.2431793077186066,8,6,arvores_corrigidas,today,0.20155379222007294,"(15, 'squared_error', True)",0.5,2.796246742322362,
