phase,horizon_h,input_column,median,mean,scale,standardized_coefficient,original_unit_coefficient
test,5,3,-0.010000000000000009,0.002189549575617285,0.11930443225209947,-0.019294708224649744,-0.16172666732010876
test,5,4,-0.009999999999999981,0.0008941575038580239,0.10948423848980501,-0.03091172931121913,-0.28233953797922773
test,5,5,-0.006249999999999978,0.0006556230709876544,0.09430310325265735,-0.055776856609471945,-0.5914636389009841
test,5,7,0.0,0.0064255401234567825,0.16113874598870762,0.03360340807813318,0.20853710801800618
test,5,8,0.0,0.007185570987654321,0.1573462392947432,0.028775665219885505,0.18288117560904982
test,5,9,0.0,0.008544560185185186,0.15133065821141,0.08756968031916681,0.5786645042991312
test,5,10,0.0,0.010493586033950618,0.13844325393647736,0.08401299896257919,0.6068406843509133
test,5,11,-0.0012499999999999734,0.009316165123456791,0.10581962314170448,0.045860584297661676,0.43338449841433613
test,5,13,0.0,0.012974537037037034,0.14583924104362547,0.11974966364710324,0.8211072876557417
test,5,14,-0.010000000000000009,0.013096064814814823,0.14374081301810876,0.06579893909900376,0.45776100550310844
test,5,15,-0.010000000000000009,0.012838059413580249,0.13660204656712407,0.06576762097957468,0.48145414093234334
test,5,16,-0.007500000000000007,0.009141107253086422,0.11516928318170955,0.09218655953481372,0.8004439811383163
test,5,17,-0.0050000000000000044,0.004637345679012345,0.0882813245218483,0.06827651956528555,0.773397090891949
test,5,19,0.0,-0.00044367283950617236,0.15975227951028598,0.000532394422188923,0.003332624885359734
test,5,20,0.0,0.0007291666666666683,0.13935784976556154,0.007721643194872944,0.05540874236982621
test,5,21,0.0,0.0009283371913580261,0.11291194287411993,0.011107596508250417,0.09837397378445378
test,5,22,0.0,0.0012755594135802472,0.08707378321656517,0.011246128723664687,0.12915631213236628
test,5,23,0.0,0.001621214313271605,0.06338175107055996,0.0010542682378065424,0.016633624347690782
validation,6,1,0.0,0.00969067405355495,0.15840501281453137,0.05936537255318721,0.37476953221609977
validation,6,2,-0.010000000000000009,0.008153277931671286,0.1526303888515712,0.042239869730611265,0.27674613193633646
validation,6,3,-0.010000000000000009,0.006778624192059096,0.1467262564933496,0.0004921850829444955,0.003354444492126764
validation,6,4,-0.007500000000000007,0.004889196675900276,0.13684021533310667,-0.030436653755159155,-0.22242477243307446
validation,6,5,-0.006249999999999978,0.004454062788550324,0.12154024015349214,-0.06091339227693937,-0.5011788046494919
validation,6,7,0.0,0.012091412742382242,0.19609804713616422,0.08583403671449444,0.4377097985830222
validation,6,8,0.0,0.012024469067405353,0.18913184649059872,0.07695984405211137,0.40691108070970405
validation,6,9,0.0,0.012646583564173587,0.180332508057959,0.10711822358044941,0.5940039582104716
validation,6,10,-0.0024999999999999467,0.016059556786703604,0.1635534072431883,0.11466792809651775,0.7011038781113101
validation,6,11,-0.0012500000000000289,0.015799572945521697,0.1294773286925646,0.0821899451956456,0.6347825215856918
validation,6,13,0.0,0.0185641735918744,0.1658105452772774,0.12366041358112209,0.7457934196786485
validation,6,14,-0.009999999999999787,0.018827331486611264,0.1640527545913232,0.09075782137814756,0.553223392098701
validation,6,15,-0.0050000000000000044,0.018835410895660206,0.1565765882528816,0.08462550640758505,0.5404735621835701
validation,6,16,-0.0050000000000000044,0.014945752539242844,0.13581225138064693,0.07244107839895304,0.5333913373979735
validation,6,17,-0.0050000000000000044,0.008806267313019393,0.10887301905965924,0.01617990260804038,0.14861260161412687
validation,6,19,0.0,0.004053554939981535,0.1564642950246359,0.008324515092003775,0.05320392803158733
validation,6,20,0.0,0.004145891043397969,0.1289514319059533,0.02670584164381527,0.20710000074518245
validation,6,21,0.0,0.0044379039704524476,0.10802736424493668,0.029770224922506184,0.2755804062293553
