id,rede,nome,lat,lon,subbacia,origem,ultimo_dado,qualidade
17896,cemaden,CEMADEN - Cambará do Sul - G2-430360802A (1045 m),-28.98363,-50.0686,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado
86060010,ANA via D1,CGH Cambará Barramento,-28.9489,-50.0556,Alto Antas,Cloudflare D1,2026-09-21T08:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86099000,ANA via D1,PCH Pezzi Montante,-28.8047,-50.4936,Alto Antas,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86102000,ANA via D1,PCH Passo do Meio Montante Tainhas,-28.8644,-50.5622,Tainhas,Cloudflare D1,2026-09-21T10:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86117000,ANA via D1,PCH Serra dos Cavalinhos I,-28.79,-50.6789,Alto Antas,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86125000,ANA via D1,CGH Trabuco Jusante,-28.6022,-51.2344,Prata-Turvo,Cloudflare D1,2026-09-21T11:59:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86125050,ANA via D1,PCH Morro Grande Montante,-28.5486,-51.3017,Prata-Turvo,Cloudflare D1,2026-09-21T12:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86163000,ANA via D1,PCH Serra dos Cavalinhos II Jusante,-28.7869,-50.7447,Alto Antas,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86200900,ANA via D1,PCH Criúva Barramento,-28.9653,-50.7989,Alto Antas,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86280500,ANA via D1,PCH Rio São Marcos Barramento,-29.0367,-51.0956,Alto Antas,Cloudflare D1,2026-09-21T12:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86298000,ANA via D1,UHE Castro Alves RS-122,-28.9414,-51.1892,Alto Antas,Cloudflare D1,2026-09-21T12:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86403000,ANA via D1,PCH Jardim Jusante,-28.5692,-51.4064,Prata-Turvo,Cloudflare D1,2026-09-21T12:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86410800,ANA via D1,PCH da Ilha Afluente,-28.7983,-51.4744,Prata-Turvo,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86447000,ANA via D1,UHE Monte Claro Balsa do Prata,-28.9714,-51.4611,Prata-Turvo,Cloudflare D1,2026-09-21T07:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86448000,ANA via D1,UHE Monte Claro Barramento,-29.0292,-51.5219,Baixo Antas,Cloudflare D1,2026-09-21T12:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86450000,ANA via D1,UHE Monte Claro Jusante,-29.075,-51.5239,Baixo Antas,Cloudflare D1,2026-09-21T12:15:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86471000,ANA via D1,UHE 14 de Julho Jusante,-29.0797,-51.6814,Baixo Antas,Cloudflare D1,2026-09-21T12:15:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86479000,ANA via D1,PCH Caçador Ponte São Domingos,-28.5792,-51.8686,Carreiro,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86488000,ANA via D1,PCH Caçador Montante,-28.6847,-51.8506,Carreiro,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86493000,ANA via D1,PCH Boa Fé Barramento,-28.7464,-51.8536,Carreiro,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86495500,ANA via D1,PCH São Paulo Barramento,-28.775,-51.8447,Carreiro,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86504900,ANA via D1,PCH Autódromo Jusante,-28.8817,-51.7897,Carreiro,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86505500,ANA via D1,PCH Linha Emília Jusante,-28.9414,-51.7694,Carreiro,Cloudflare D1,2026-09-21T11:00:00-03:00,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
