phase,horizon_h,family,subset,regime,n,hits,mae_m,bias_m,max_error_m
validation,5,baseline,all,below_train_min,2,2,0.29888074505443063,0.29888074505443063,0.2994484365300494
validation,5,baseline,all,within_train_range,6471,6410,0.06956797956864852,0.007644235408079943,1.1150861210027827
validation,5,baseline,level_ge_7m,above_train_max,0,0,,,
validation,5,baseline,level_ge_7m,below_train_min,0,0,,,
validation,5,baseline,level_ge_7m,within_train_range,28,24,0.21873186629367794,-0.07832359658008256,1.0220439830846848
validation,5,native_only,all,above_train_max,0,0,,,
validation,5,native_only,all,below_train_min,2,2,0.29640172619057914,0.29640172619057914,0.33090092503856816
validation,5,native_only,all,within_train_range,6471,6382,0.07663107195633478,0.006957787981164959,1.817142913145819
validation,5,native_only,level_ge_7m,above_train_max,0,0,,,
validation,5,native_only,level_ge_7m,below_train_min,0,0,,,
validation,5,native_only,level_ge_7m,within_train_range,28,25,0.20294487861821744,0.027669456764489286,0.600808195785274
validation,5,reservoir_only,all,above_train_max,0,0,,,
validation,5,reservoir_only,all,below_train_min,2,2,0.3693868306104662,0.3693868306104662,0.37457446370866343
validation,5,reservoir_only,all,within_train_range,6471,6414,0.06901234115012017,0.004071360721913435,1.2557830811045054
validation,5,reservoir_only,level_ge_7m,above_train_max,0,0,,,
validation,5,reservoir_only,level_ge_7m,below_train_min,0,0,,,
validation,5,reservoir_only,level_ge_7m,within_train_range,28,25,0.21668885420852518,-0.08900486891401917,1.0276618523376193
validation,5,combined,all,above_train_max,0,0,,,
validation,5,combined,all,below_train_min,2,2,0.35314255159699215,0.35314255159699215,0.38697614205305975
validation,5,combined,all,within_train_range,6471,6382,0.07936850564028874,0.014339604192353344,1.8207987948565272
validation,5,combined,level_ge_7m,above_train_max,0,0,,,
validation,5,combined,level_ge_7m,below_train_min,0,0,,,
validation,5,combined,level_ge_7m,within_train_range,28,26,0.19346981660501533,0.020425850685857134,0.6675886989660595
test,5,baseline,all,above_train_max,7,0,3.778781253241603,-3.778781253241603,5.080989872373912
test,5,baseline,all,below_train_min,28,12,0.6503483400365483,0.6503483400365483,1.3512904700171138
test,5,baseline,all,within_train_range,1894,1829,0.13449304475832766,-0.012312684671785682,2.973389181785417
test,5,baseline,level_ge_7m,above_train_max,7,0,3.778781253241603,-3.778781253241603,5.080989872373912
test,5,baseline,level_ge_7m,below_train_min,28,12,0.6503483400365483,0.6503483400365483,1.3512904700171138
test,5,baseline,level_ge_7m,within_train_range,201,163,0.3406034680305143,-0.09558971886485369,2.973389181785417
test,5,native_only,all,above_train_max,7,0,3.516543353943903,-3.516543353943903,4.864267949721896
test,5,native_only,all,below_train_min,28,12,0.6594398403112474,0.6594398403112474,1.3474052380117687
test,5,native_only,all,within_train_range,1894,1824,0.13275535452827789,-0.0015596443471413337,2.772054243700679
