month,id,name,code,rows
1,PPUHMU,GOV JAYME CANET JR,57.0,744
1,PPJURU,JURUMIRIM,47.0,744
1,PPORI,OURINHOS,249.0,717
1,PPPJU,PIRAJU,48.0,686
1,PPROSA,ROSANA,63.0,744
1,PPSGCS,SALTO GRANDE CS,50.0,744
1,PPTAQU,TAQUARUÇU,62.0,744
1,PIBESP,BOA ESPERANÇA,190.0,744
1,ODRBON,RIO BONITO,,744
1,ODUSUI,SUIÇA,,744
1,SFMOXO,APOLONIO SALES,173.0,744
1,SFLGON,LUIZ GONZAGA,172.0,744
1,SFP123,"P. AFONSO 1,2,3",174.0,744
1,SFPAF4,P. AFONSO 4,175.0,744
1,SFQMDO,QUEIMADO,162.0,744
1,SFUHRB,RETIRO BAIXO,155.0,687
1,SFSOBR,SOBRADINHO,169.0,744
1,SFTMAR,TRÊS MARIAS,156.0,744
1,SFXING,XINGO,178.0,744
1,TIBONI,B. BONITA,37.0,744
1,TIBARI,BARIRI,38.0,744
1,TIIBIT,IBITINGA,39.0,744
1,TINAVA,N. AVANHANDAVA,42.0,744
1,TIPROM,PROMISSÃO,40.0,744
1,TITIRM,TRÊS IRMÃOS,43.0,370
1,TOUHCB,CANA BRAVA,252.0,744
1,TOUHET,ESTREITO,267.0,744
1,TOLAJ,LAJEADO,261.0,744
1,TOUHPA,PEIXE ANGICAL,257.0,744
1,TOUHSA,SAO SALVADOR,253.0,744
1,TOSMES,SERRA DA MESA,251.0,744
1,TOTUCU,TUCURUI,275.0,744
1,RIUHBG,BARRA GRANDE,86.0,744
1,RIUHCN,CAMPOS NOVOS,90.0,744
1,RIUHFC,FOZ CHAPECO,103.0,737
1,RIGAR,GARIBALDI,89.0,744
1,RIITÁ,ITÁ,92.0,744
1,RIUHMA,MACHADINHO,91.0,744
1,RIUHMO,MONJOLINHO,94.0,744
1,PFPFUN,PASSO FUNDO,93.0,744
1,RIUHPJ,PASSO SAO JOAO,102.0,743
1,RIUQQX,QUEBRA QUEIXO,95.0,713
1,RIUSJO,SAO JOSE,101.0,742
1,RIUHSR,SAO ROQUE,88.0,744
6,AMUHBB,BALBINA,277.0,719
6,AMUSBM,BELO MONTE,288.0,710
6,AMCLR,COLIDER,228.0,719
6,CRCURU,CURUA-UNA,272.0,719
