origin,plant,variable,back_hours,query_naive,source_time_naive,age_seconds,value_m3s,usable,zero,Q_zero_positive_components,balance_residual_gt1,source_file,source_record_index
2020-07-01T05:00:00-03:00,JIUHMC,Q,2,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,2015.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,745
2020-07-01T05:00:00-03:00,JIUHMC,Q,4,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1874.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43907
2020-07-01T05:00:00-03:00,JIUHMC,Q,8,2020-06-30T20:00:00,2020-06-30 20:00:00,0.0,2163.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43903
2020-07-01T05:00:00-03:00,JIUHMC,I,0,2020-07-01T04:00:00,2020-07-01 04:00:00,0.0,1927.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,747
2020-07-01T05:00:00-03:00,JIUHCA,Q,0,2020-07-01T04:00:00,2020-07-01 04:00:00,0.0,1179.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,3
2020-07-01T05:00:00-03:00,JIUHCA,Q,1,2020-07-01T03:00:00,2020-07-01 03:00:00,0.0,1170.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,2
2020-07-01T05:00:00-03:00,JIUHCA,Q,2,2020-07-01T02:00:00,2020-07-01 02:00:00,0.0,1142.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1
2020-07-01T05:00:00-03:00,JIUHCA,Q,4,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1160.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40307
2020-07-01T05:00:00-03:00,JIUHCA,Q,8,2020-06-30T20:00:00,2020-06-30 20:00:00,0.0,1247.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40303
2020-07-01T05:00:00-03:00,JIUHCA,I,0,2020-07-01T04:00:00,2020-07-01 04:00:00,0.0,1194.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,3
2020-07-01T06:00:00-03:00,JIUHQJ,Q,0,2020-07-01T05:00:00,2020-07-01 05:00:00,0.0,2061.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1492
