phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,rmse_m3_s,p90_absolute_m3_s,p98_absolute_m3_s,max_absolute_m3_s
test,high_flow,level_and_slopes,6,271,402.8494100063365,-92.62333292657844,962.8421056433885,872.2621806667739,2789.614943940506,6629.034737206933
test,high_flow,level_and_slopes,7,271,459.8985836314835,-115.95714123615728,1069.8309752569082,1032.2415811900046,2981.6310648626873,7042.648750530315
test,high_flow,level_and_slopes,8,271,520.432462475439,-142.1650421958084,1172.1275576795663,1395.5399283595307,3311.440508721166,7285.60583848516
test,high_flow,level_and_slopes,9,271,573.5254903966777,-172.28242271838698,1246.776152853056,1376.993894986961,3583.8334714752827,7732.903594347952
test,high_flow,level_and_slopes,10,271,625.6645976040562,-206.74172017135015,1307.0190002796037,1560.6618978439685,3723.996081710725,7626.503207725082
test,high_flow,level_and_slopes,11,271,687.9518966007204,-242.3254024736225,1406.976778510547,1913.80466537135,4243.566740801461,8160.6119795777795
test,high_flow,without_monte,0,271,82.34748515279293,-9.992918669502401,140.8273147741846,223.81281473555896,386.8227186993712,857.333358143545
test,high_flow,without_monte,1,271,131.0026376170443,-21.459853972361667,199.0423695589259,285.6899670357561,644.7709056711917,967.6249071353027
test,high_flow,without_monte,2,271,166.88873874742436,-31.75212008876567,254.78756398749556,384.6007403058388,745.240902134159,1273.3602330102685
test,high_flow,without_monte,3,271,200.53473078654764,-45.39608115794359,318.4251248328062,438.60963438353156,1060.172581267965,1588.1622398762202
test,high_flow,without_monte,4,271,231.08218961959787,-62.23516649507328,386.08521603581767,509.2687894292658,1420.201567950382,1777.205341447494
test,high_flow,without_monte,5,271,265.2345226613132,-82.41089735629967,457.077121761521,534.993721431506,1704.0887493421424,2206.661283322167
test,high_flow,without_monte,6,271,298.64582096079107,-104.78407124602442,533.3632921354804,601.4822463835467,1969.0526750664228,2648.677827312573
test,high_flow,without_monte,7,271,343.10632636174904,-128.17519108701694,619.4931533401843,665.3351504155203,2422.9682882899806,2962.6653236999914
test,high_flow,without_monte,8,271,392.90797466347306,-153.0374849003297,710.7293392662111,809.6529592846055,2871.6532655852716,3197.7851047331196
test,high_flow,without_monte,9,271,445.83590173812763,-180.93236002077285,803.902054625188,971.3870775727946,3187.8075004958614,3584.2895704987786
test,high_flow,without_monte,10,271,503.0226825273222,-213.69378957251158,903.3320308699226,1189.668665664939,3667.2697199102345,3913.7916489050485
test,high_flow,without_monte,11,271,562.8914228295565,-250.31249639531816,1004.8215177193276,1331.7042106226836,3946.844807063389,4720.895615164081
