phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,11,level_ge_7m,missing24,baseline,629,0,0,0,0,,,,,
validation,11,level_ge_7m,missing24,candidate,629,0,0,0,0,,,,,
validation,12,all,full_schedule,baseline,6540,6506,6466,40,5182,0.8014228270955769,0.32568464204617265,0.09679086167074576,1.235905786888639,2.3332697205127926
validation,12,all,full_schedule,candidate,6540,6506,6466,40,5376,0.8314259201979586,0.29920897386514966,0.08185000831403433,1.168414238447954,2.3203597148795034
validation,12,all,complete24,baseline,5912,5879,5879,0,4773,0.8118727674774622,0.3185412062042927,0.09968495700648027,1.2044916878297613,2.3332697205127926
validation,12,all,complete24,candidate,5912,5879,5879,0,4940,0.8402789590066337,0.2913338845249843,0.08239413259823443,1.1169449427150742,2.2320943457669236
validation,12,all,missing24,baseline,628,627,587,40,409,0.696763202725724,0.39722852503495043,0.06780553547179662,1.3325317085274446,2.0700219598786536
validation,12,all,missing24,candidate,628,627,587,40,436,0.7427597955706985,0.378080609692802,0.07640042285098088,1.3629816962782113,2.3203597148795034
validation,12,level_ge_7m,full_schedule,baseline,6540,28,28,0,8,0.2857142857142857,0.7741789458509221,0.17389364330890197,1.5637003457318195,1.6670102869528893
validation,12,level_ge_7m,full_schedule,candidate,6540,28,28,0,11,0.39285714285714285,0.7228502103130943,0.07994769924347508,1.5487583533937128,1.7198595857963408
validation,12,level_ge_7m,complete24,baseline,5912,28,28,0,8,0.2857142857142857,0.7741789458509221,0.17389364330890197,1.5637003457318195,1.6670102869528893
validation,12,level_ge_7m,complete24,candidate,5912,28,28,0,11,0.39285714285714285,0.7228502103130943,0.07994769924347508,1.5487583533937128,1.7198595857963408
validation,12,level_ge_7m,missing24,baseline,628,0,0,0,0,,,,,
validation,12,level_ge_7m,missing24,candidate,628,0,0,0,0,,,,,
test,1,all,full_schedule,baseline,1967,1944,1939,5,1933,0.9969056214543579,0.037078140006733956,0.0012783741989543084,0.21266207215195618,1.3044476121322175
test,1,all,full_schedule,candidate,1967,1944,1939,5,1933,0.9969056214543579,0.037202667222534236,0.0006952946054257343,0.20321246738551435,1.302432383485252
test,1,all,complete24,baseline,1353,1350,1350,0,1350,1.0,0.030151794540317366,0.0016950092667334209,0.15582327081912353,0.46247504559250796
test,1,all,complete24,candidate,1353,1350,1350,0,1350,1.0,0.0305998418184195,0.001085436375868964,0.1577275202902993,0.4642893720561103
test,1,all,missing24,baseline,614,594,589,5,583,0.9898132427843803,0.05295346492976011,0.00032343813528401636,0.3046750737175768,1.3044476121322175
test,1,all,missing24,candidate,614,594,589,5,583,0.9898132427843803,0.052336477571523876,-0.0001989182809891382,0.30552547253798784,1.302432383485252
test,1,level_ge_7m,full_schedule,baseline,1967,237,236,1,230,0.9745762711864406,0.08534798119519862,0.004000937539976372,0.5722526689017448,1.3044476121322175
test,1,level_ge_7m,full_schedule,candidate,1967,237,236,1,230,0.9745762711864406,0.08518138515615024,0.0013461992405611736,0.5639413193582063,1.302432383485252
test,1,level_ge_7m,complete24,baseline,1353,144,144,0,144,1.0,0.05642237023046924,0.009206481217149157,0.2541958385815889,0.38810681262565794
test,1,level_ge_7m,complete24,candidate,1353,144,144,0,144,1.0,0.056787821735845734,0.0054198209812547395,0.2631054273121648,0.4143798027585408
test,1,level_ge_7m,missing24,baseline,614,93,92,1,86,0.9347826086956522,0.1306228505312968,-0.004146869954728856,1.0161144471169388,1.3044476121322175
test,1,level_ge_7m,missing24,candidate,614,93,92,1,86,0.9347826086956522,0.12962348442271382,-0.005029904353567886,1.0110539356545212,1.302432383485252
test,2,all,full_schedule,baseline,1966,1943,1936,7,1914,0.9886363636363636,0.06483333952362733,0.004186516175425035,0.3836967563242872,2.391642968883237
test,2,all,full_schedule,candidate,1966,1943,1936,7,1912,0.987603305785124,0.0642225349928614,0.0044026300796873585,0.39526226334809506,2.3815057082775617
