phase,profile,horizon_h,population,subset,compared_family,matching_control,observed_targets,pairs,failures,baseline_hits,compared_hits,hits_delta,baseline_mae_m,compared_mae_m,mae_m_delta,baseline_bias_m,compared_bias_m,bias_m_delta,baseline_p98_abs_m,compared_p98_abs_m,p98_abs_m_delta,baseline_max_abs_m,compared_max_abs_m,max_abs_m_delta
test,A,4,full_schedule,level_ge_7m,mixed_profile_candidate,profile_A_control,237,236,1,199,199,0,0.34447883082737046,0.36092812417098286,0.016449293343612392,-0.0846524882924419,-0.10023364114723851,-0.01558115285479661,2.1717562253460576,2.3151663431946967,0.1434101178486391,4.579107233006882,4.7455033562984505,0.16639612329156872
test,A,4,full_schedule,level_ge_7m,profile_B_control,profile_A_control,237,236,1,199,201,2,0.34447883082737046,0.35548726889395527,0.011008438066584803,-0.0846524882924419,-0.10532369205205049,-0.020671203759608583,2.1717562253460576,2.333211396248645,0.16145517090258732,4.579107233006882,4.745916441945315,0.16680920893843343
test,A,4,complete24,all,mixed_profile_candidate,profile_A_control,1345,1345,0,1327,1319,-8,0.08960267220847443,0.10483660663078839,0.015233934422313966,0.0048495547602637355,0.003973479744191185,-0.0008760750160725509,0.43281041448884344,0.4957601626034169,0.06294974811457343,1.0126687812034216,1.1275417261449672,0.11487294494154554
test,A,4,complete24,all,profile_B_control,profile_A_control,1345,1345,0,1327,1319,-8,0.08960267220847443,0.1189519069614705,0.02934923475299607,0.0048495547602637355,-0.00036699678096311207,-0.005216551541226848,0.43281041448884344,0.4960147081108131,0.06320429362196966,1.0126687812034216,1.11492535080016,0.10225656959673834
test,A,4,complete24,level_ge_7m,mixed_profile_candidate,profile_A_control,141,141,0,129,127,-2,0.21401654763344402,0.21817461329975182,0.004158065666307803,-0.014772773930388377,-0.005596108087970437,0.00917666584241794,0.8610170378343888,0.9707681531764454,0.10975111534205662,1.0126687812034216,1.1275417261449672,0.11487294494154554
test,A,4,complete24,level_ge_7m,profile_B_control,profile_A_control,141,141,0,129,129,0,0.21401654763344402,0.21542542670658452,0.0014088790731404954,-0.014772773930388377,-0.02632521716014023,-0.011552443229751852,0.8610170378343888,0.8142006315275215,-0.04681640630686723,1.0126687812034216,1.11492535080016,0.10225656959673834
test,A,4,missing24,all,mixed_profile_candidate,profile_A_control,596,586,10,551,545,-6,0.17322591710923643,0.18925348430250144,0.016027567193265008,-0.03313940616967849,-0.02913789557023754,0.004001510599440948,1.1060064429972427,1.303990659513822,0.19798421651657927,4.579107233006882,4.7455033562984505,0.16639612329156872
test,A,4,missing24,all,profile_B_control,profile_A_control,596,586,10,551,538,-13,0.17322591710923643,0.19737107037405,0.024145153264813562,-0.03313940616967849,-0.02748289307836097,0.005656513091317521,1.1060064429972427,1.2059032491950852,0.09989680619784247,4.579107233006882,4.745916441945315,0.16680920893843343
test,A,4,missing24,level_ge_7m,mixed_profile_candidate,profile_A_control,96,95,1,70,72,2,0.5381123248309875,0.5728043876745994,0.034692062843611926,-0.1883686959245424,-0.24069566389836267,-0.052326967973820276,3.732097286452388,3.92262320661903,0.19052592016664205,4.579107233006882,4.7455033562984505,0.16639612329156872
test,A,4,missing24,level_ge_7m,profile_B_control,profile_A_control,96,95,1,70,72,2,0.5381123248309875,0.5633685294036319,0.025256204572644436,-0.1883686959245424,-0.22257406004951727,-0.03420536412497488,3.732097286452388,3.911908739871886,0.1798114534194979,4.579107233006882,4.745916441945315,0.16680920893843343
