dataset,period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
original,validation,6,full_schedule,level_ge_7m,normalized_plus2020,6546,34,28,28,0,21,0.75,0.75,0.30378716463972805,0.19096572062241543,0.9899184283990676,1.2622987610809622
original,validation,6,complete24,all,raw_original,5912,31,5881,5881,0,5788,0.9841863628634586,0.9841863628634586,0.08955848593583714,0.011826010651543673,0.43268006928695163,2.0157117770796145
original,validation,6,complete24,all,raw_plus2020,5912,31,5881,5881,0,5769,0.9809556197925523,0.9809556197925523,0.08913795445105448,0.01867431738227167,0.4842370879562182,2.261363637376
original,validation,6,complete24,all,normalized_original,5912,31,5881,5881,0,5798,0.9858867539534093,0.9858867539534093,0.0894186606696782,0.013564610598145092,0.43303882784681097,1.9510723701301718
original,validation,6,complete24,all,normalized_plus2020,5912,31,5881,5881,0,5777,0.9823159326645129,0.9823159326645129,0.08896859168579778,0.01434437356728856,0.46791199042208764,2.150377557572414
original,validation,6,complete24,level_ge_7m,raw_original,5912,31,28,28,0,24,0.8571428571428571,0.8571428571428571,0.2587119452642057,-0.04575799295960744,0.894448299163738,1.0962896884715265
original,validation,6,complete24,level_ge_7m,raw_plus2020,5912,31,28,28,0,21,0.75,0.75,0.3550741139148806,0.2457170568496924,1.047826571049586,1.386024455608342
original,validation,6,complete24,level_ge_7m,normalized_original,5912,31,28,28,0,23,0.8214285714285714,0.8214285714285714,0.2542991455371077,-0.014499424240466765,0.8742432895145562,1.086237371195586
original,validation,6,complete24,level_ge_7m,normalized_plus2020,5912,31,28,28,0,21,0.75,0.75,0.30378716463972805,0.19096572062241543,0.9899184283990676,1.2622987610809622
original,validation,6,missing24,all,raw_original,634,3,631,591,40,534,0.9035532994923858,0.8462757527733756,0.19947936921836668,0.05554262918035423,0.9151751725811162,1.2704077599448484
original,validation,6,missing24,all,raw_plus2020,634,3,631,591,40,500,0.8460236886632826,0.7923930269413629,0.2618818042364992,-0.09600594856031208,1.6331128350187782,2.1561778840227177
original,validation,6,missing24,all,normalized_original,634,3,631,591,40,532,0.9001692047377327,0.8431061806656102,0.20073730074630214,0.06418113389002117,0.8988163003720885,1.262268413257421
original,validation,6,missing24,all,normalized_plus2020,634,3,631,591,40,504,0.8527918781725888,0.7987321711568938,0.26131737784372505,-0.09941964620330827,1.6558820504545502,2.1742000294398567
original,validation,6,missing24,level_ge_7m,raw_original,634,3,0,0,0,0,,,,,,
original,validation,6,missing24,level_ge_7m,raw_plus2020,634,3,0,0,0,0,,,,,,
original,validation,6,missing24,level_ge_7m,normalized_original,634,3,0,0,0,0,,,,,,
original,validation,6,missing24,level_ge_7m,normalized_plus2020,634,3,0,0,0,0,,,,,,
original,validation,7,full_schedule,all,raw_original,6545,34,6511,6471,40,6159,0.951784886416319,0.9459376439870988,0.13672023312714657,0.05841799343365365,0.6608837932413701,2.794810940153507
original,validation,7,full_schedule,all,raw_plus2020,6545,34,6511,6471,40,6196,0.957502704373358,0.9516203348180003,0.1366269888266911,0.0434972837493189,0.7304435345361106,2.808859380844501
original,validation,7,full_schedule,all,normalized_original,6545,34,6511,6471,40,6167,0.9530211713800031,0.9471663338964829,0.13569978282411607,0.05592969881248113,0.6530519302547255,2.7603854994577866
original,validation,7,full_schedule,all,normalized_plus2020,6545,34,6511,6471,40,6193,0.9570390975119765,0.9511595761019812,0.13642140543589937,0.04246687733891106,0.7196577693953801,2.9570158059859573
original,validation,7,full_schedule,level_ge_7m,raw_original,6545,34,28,28,0,18,0.6428571428571429,0.6428571428571429,0.4275016599210431,0.3297182360213466,1.6964790563889107,2.6556568259868305
original,validation,7,full_schedule,level_ge_7m,raw_plus2020,6545,34,28,28,0,22,0.7857142857142857,0.7857142857142857,0.36599592967606104,0.25358335707278684,1.3091012889627618,1.6104075559087958
original,validation,7,full_schedule,level_ge_7m,normalized_original,6545,34,28,28,0,18,0.6428571428571429,0.6428571428571429,0.4299736227075268,0.3303078318202794,1.672602345406892,2.604009097325245
original,validation,7,full_schedule,level_ge_7m,normalized_plus2020,6545,34,28,28,0,21,0.75,0.75,0.3881963676912018,0.2961891240252173,1.360039988735543,1.6027113082585442
original,validation,7,complete24,all,raw_original,5912,28,5884,5884,0,5660,0.9619306594153637,0.9619306594153637,0.12632267706871253,0.05400033590109299,0.5943925194522182,2.794810940153507
original,validation,7,complete24,all,raw_plus2020,5912,28,5884,5884,0,5693,0.9675390890550646,0.9675390890550646,0.12353747765661952,0.04855958046045547,0.6098035130276916,2.808859380844501
original,validation,7,complete24,all,normalized_original,5912,28,5884,5884,0,5665,0.9627804214819851,0.9627804214819851,0.12540713419508065,0.05173726432231731,0.597827091928677,2.7603854994577866
