phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,weighted_hits,hits_delta,reference_mae_m,weighted_mae_m,mae_m_delta,reference_bias_m,weighted_bias_m,bias_m_delta,reference_p98_abs_m,weighted_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,weighted_max_abs_m,max_abs_m_delta
validation,B,5,missing24,all,mixed_profile_candidate,primary_weight_9m,607,577,30,538,534,-4,0.15451583423482074,0.15454579010764005,2.9955872819315e-05,0.027171877138516626,0.023762434418353393,-0.0034094427201632332,0.8294373826410439,0.7720821238963387,-0.05735525874470526,1.3662891017699481,1.3907844796354123,0.024495377865464185
validation,B,5,missing24,all,profile_A_control,cross_profile,607,577,30,521,534,13,0.17104256355791442,0.15454579010764005,-0.016496773450274366,0.004376562604897126,0.023762434418353393,0.019385871813456267,0.8398563627766317,0.7720821238963387,-0.06777423888029299,1.4997226999977404,1.3907844796354123,-0.10893822036232814
validation,B,5,missing24,all,profile_B_control,matching_profile,607,577,30,532,534,2,0.15678480844663167,0.15454579010764005,-0.002239018338991622,0.03670400903554214,0.023762434418353393,-0.012941574617188749,0.8325013515893827,0.7720821238963387,-0.060419227693043975,1.331690111386059,1.3907844796354123,0.05909436824935321
validation,B,5,missing24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,5,missing24,level_ge_7m,profile_A_control,cross_profile,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,5,missing24,level_ge_7m,profile_B_control,matching_profile,0,0,0,0,0,0,,,,,,,,,,,,
validation,B,6,full_schedule,all,mixed_profile_candidate,primary_weight_9m,6512,6482,30,6333,6332,-1,0.10208987076245167,0.1023359134734964,0.00024604271104472497,0.002078411526813479,-0.0009606799474292146,-0.0030390914742426936,0.5273358402207028,0.5431609824526774,0.01582514223197462,1.475247979291903,1.4712964151441312,-0.003951564147771869
validation,B,6,full_schedule,all,profile_A_control,cross_profile,6512,6482,30,6313,6332,19,0.11045830980002529,0.1023359134734964,-0.008122396326528891,0.0024367273199581135,-0.0009606799474292146,-0.0033974072673873283,0.5565401036471881,0.5431609824526774,-0.01337912119451068,1.4543044580973832,1.4712964151441312,0.016991957046748052
validation,B,6,full_schedule,all,profile_B_control,matching_profile,6512,6482,30,6335,6332,-3,0.100202271937591,0.1023359134734964,0.002133641535905395,0.008525531114623877,-0.0009606799474292146,-0.009486211062053091,0.5371293622217411,0.5431609824526774,0.006031620230936285,1.3836569377257621,1.4712964151441312,0.08763947741836908
validation,B,6,full_schedule,level_ge_7m,mixed_profile_candidate,primary_weight_9m,28,28,0,23,22,-1,0.234415440827118,0.2632518400155964,0.028836399188478384,-0.0018804947026945002,-0.10022607197055201,-0.09834557726785752,0.710952331130356,0.78649241075458,0.07554007962422393,0.8878534127507605,0.856824423490977,-0.03102898925978348
validation,B,6,full_schedule,level_ge_7m,profile_A_control,cross_profile,28,28,0,20,22,2,0.3708771430366556,0.2632518400155964,-0.10762530302105922,-0.04030760076389365,-0.10022607197055201,-0.059918471206658365,1.0841904997778096,0.78649241075458,-0.2976980890232296,1.3132773043152648,0.856824423490977,-0.4564528808242878
