phase,profile,horizon_h,family,observed_level_band,scheduled_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,11,flood_weight_7m,7_to_9m,120,0,120,120,0,52,81.5987723809429,0.6799897698411909,-0.4374674121614025,3.1728499632125375
test,A,11,flood_weight_7m,ge_9m,117,0,117,116,1,35,194.78698019060874,1.6791981050914546,-0.2461242548050564,6.955698902888068
test,A,11,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,A,12,profile_A_control,below_7m,1696,0,1696,1679,17,1223,638.3969494116387,0.3802245082856693,-0.041144603676472435,2.747253946961778
test,A,12,profile_A_control,7_to_9m,120,0,120,120,0,60,82.18196937949999,0.6848497448291666,-0.4104217363994085,3.401825887987262
test,A,12,profile_A_control,ge_9m,117,0,117,116,1,31,212.09749137142722,1.828426649753683,-0.2695690884443977,7.575214133637115
test,A,12,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,12,profile_B_control,below_7m,1696,0,1696,1679,17,1227,641.9585660960088,0.38234578087909993,-0.04354737000845075,2.8885819158485946
test,A,12,profile_B_control,7_to_9m,120,0,120,120,0,47,89.40129468716206,0.7450107890596839,-0.48558851100841627,3.4637493912386095
test,A,12,profile_B_control,ge_9m,117,0,117,116,1,28,217.38453530610337,1.8740046147077878,-0.2845047255420569,7.103354101008396
test,A,12,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,A,12,mixed_profile_candidate,below_7m,1696,0,1696,1679,17,1229,639.0965374871353,0.38064117777673334,-0.03931458589298011,2.8076413008903813
test,A,12,mixed_profile_candidate,7_to_9m,120,0,120,120,0,44,91.9238497092283,0.7660320809102359,-0.5182508756593414,3.323315913385237
test,A,12,mixed_profile_candidate,ge_9m,117,0,117,116,1,31,221.64300705402033,1.9107155780518994,-0.27788591614915936,7.792800339521805
test,A,12,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,A,12,flood_weight_7m,below_7m,1696,0,1696,1679,17,1224,640.6743820755987,0.38158093036069013,-0.05181744041828455,2.8331735990754177
test,A,12,flood_weight_7m,7_to_9m,120,0,120,120,0,39,96.17471423268927,0.8014559519390773,-0.4921482251317882,3.3663647337398412
test,A,12,flood_weight_7m,ge_9m,117,0,117,116,1,28,220.38307333099556,1.899854080439617,-0.3572582889357458,7.532038968207967
test,A,12,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,B,1,profile_A_control,below_7m,1707,0,1707,1704,3,1697,88.17100255054024,0.051743546097734884,-0.0005183644012802765,0.8686235037247725
test,B,1,profile_A_control,7_to_9m,120,0,120,120,0,119,9.832977299989766,0.08194147749991472,-0.016731406876500144,1.6777759874458438
test,B,1,profile_A_control,ge_9m,117,0,117,116,1,110,20.800259035583558,0.1793125778929617,0.03557879970478155,1.6282920262357221
test,B,1,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,B,1,profile_B_control,below_7m,1707,0,1707,1704,3,1703,60.584768651390114,0.03555444169682519,0.0019233283444787164,0.5312803520074385
test,B,1,profile_B_control,7_to_9m,120,0,120,120,0,119,6.845605801992,0.0570467150166,-0.019481119555673096,1.5100564871323074
test,B,1,profile_B_control,ge_9m,117,0,117,116,1,111,15.365004970424074,0.13245693940020753,0.028320053109331913,1.4650126284895695
test,B,1,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,B,1,mixed_profile_candidate,below_7m,1707,0,1707,1704,3,1701,64.94454092947264,0.038112993503211644,-0.0010003257973052067,0.5783334230443047
test,B,1,mixed_profile_candidate,7_to_9m,120,0,120,120,0,119,7.58500732184659,0.06320839434872158,-0.015944010327658888,1.5158225447286915
test,B,1,mixed_profile_candidate,ge_9m,117,0,117,116,1,111,17.21156445906606,0.14837555568160396,0.03691267470426143,1.4634914721435912
test,B,1,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
