origin,station,query_time,source_time,age_after_delay_seconds,value_m,usable
2024-04-08T05:00:00-03:00,86472000,2024-04-08T04:30:00-03:00,2024-04-08T04:30:00-03:00,0.0,3.18,True
2024-04-08T06:00:00-03:00,86472000,2024-04-08T05:30:00-03:00,2024-04-08T05:30:00-03:00,0.0,3.16,True
2024-04-08T07:00:00-03:00,86472000,2024-04-08T06:30:00-03:00,2024-04-08T06:30:00-03:00,0.0,3.1,True
2024-04-08T08:00:00-03:00,86472000,2024-04-08T07:30:00-03:00,2024-04-08T07:30:00-03:00,0.0,3.07,True
2024-04-08T09:00:00-03:00,86472000,2024-04-08T08:30:00-03:00,2024-04-08T08:30:00-03:00,0.0,3.03,True
2024-04-08T10:00:00-03:00,86472000,2024-04-08T09:30:00-03:00,2024-04-08T09:30:00-03:00,0.0,3.02,True
2024-04-08T11:00:00-03:00,86472000,2024-04-08T10:30:00-03:00,2024-04-08T10:30:00-03:00,0.0,3.01,True
2024-04-08T12:00:00-03:00,86472000,2024-04-08T11:30:00-03:00,2024-04-08T11:30:00-03:00,0.0,3.0,True
2024-04-08T13:00:00-03:00,86472000,2024-04-08T12:30:00-03:00,2024-04-08T12:30:00-03:00,0.0,3.0,True
2024-04-08T14:00:00-03:00,86472000,2024-04-08T13:30:00-03:00,2024-04-08T13:30:00-03:00,0.0,2.99,True
2024-04-08T15:00:00-03:00,86472000,2024-04-08T14:30:00-03:00,2024-04-08T14:30:00-03:00,0.0,2.99,True
2024-04-08T16:00:00-03:00,86472000,2024-04-08T15:30:00-03:00,2024-04-08T15:30:00-03:00,0.0,3.0,True
2024-04-08T17:00:00-03:00,86472000,2024-04-08T16:30:00-03:00,2024-04-08T16:30:00-03:00,0.0,2.99,True
2024-04-08T18:00:00-03:00,86472000,2024-04-08T17:30:00-03:00,2024-04-08T17:30:00-03:00,0.0,2.99,True
2024-04-08T19:00:00-03:00,86472000,2024-04-08T18:30:00-03:00,2024-04-08T18:30:00-03:00,0.0,2.99,True
2024-04-08T20:00:00-03:00,86472000,2024-04-08T19:30:00-03:00,2024-04-08T19:30:00-03:00,0.0,2.99,True
2024-04-08T21:00:00-03:00,86472000,2024-04-08T20:30:00-03:00,2024-04-08T20:30:00-03:00,0.0,2.99,True
2024-04-08T22:00:00-03:00,86472000,2024-04-08T21:30:00-03:00,2024-04-08T21:30:00-03:00,0.0,2.99,True
2024-04-08T23:00:00-03:00,86472000,2024-04-08T22:30:00-03:00,2024-04-08T22:30:00-03:00,0.0,2.99,True
2024-04-09T00:00:00-03:00,86472000,2024-04-08T23:30:00-03:00,2024-04-08T23:30:00-03:00,0.0,2.99,True
2024-04-09T01:00:00-03:00,86472000,2024-04-09T00:30:00-03:00,2024-04-09T00:30:00-03:00,0.0,2.99,True
2024-04-09T02:00:00-03:00,86472000,2024-04-09T01:30:00-03:00,2024-04-09T01:30:00-03:00,0.0,3.0,True
2024-04-09T03:00:00-03:00,86472000,2024-04-09T02:30:00-03:00,2024-04-09T02:30:00-03:00,0.0,3.0,True
2024-04-09T04:00:00-03:00,86472000,2024-04-09T03:30:00-03:00,2024-04-09T03:30:00-03:00,0.0,3.0,True
2024-04-09T05:00:00-03:00,86472000,2024-04-09T04:30:00-03:00,2024-04-09T04:30:00-03:00,0.0,3.0,True
2024-04-09T06:00:00-03:00,86472000,2024-04-09T05:30:00-03:00,2024-04-09T05:30:00-03:00,0.0,3.0,True
2024-04-09T07:00:00-03:00,86472000,2024-04-09T06:30:00-03:00,2024-04-09T06:30:00-03:00,0.0,3.0,True
2024-04-09T08:00:00-03:00,86472000,2024-04-09T07:30:00-03:00,2024-04-09T07:30:00-03:00,0.0,3.0,True
2024-04-09T09:00:00-03:00,86472000,2024-04-09T08:30:00-03:00,2024-04-09T08:30:00-03:00,0.0,3.0,True
2024-04-09T10:00:00-03:00,86472000,2024-04-09T09:30:00-03:00,2024-04-09T09:30:00-03:00,0.0,2.97,True
2024-04-09T11:00:00-03:00,86472000,2024-04-09T10:30:00-03:00,2024-04-09T10:30:00-03:00,0.0,2.93,True
2024-04-09T12:00:00-03:00,86472000,2024-04-09T11:30:00-03:00,2024-04-09T11:30:00-03:00,0.0,2.91,True
2024-04-09T13:00:00-03:00,86472000,2024-04-09T12:30:00-03:00,2024-04-09T12:30:00-03:00,0.0,2.9,True
2024-04-09T14:00:00-03:00,86472000,2024-04-09T13:30:00-03:00,2024-04-09T13:30:00-03:00,0.0,2.9,True
2024-04-09T15:00:00-03:00,86472000,2024-04-09T14:30:00-03:00,2024-04-09T14:30:00-03:00,0.0,2.9,True
