nominal_lead_h,origin_trend,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
8,falling,julho_levels,level_ge_7m,89,88,1,0.9887640449438202,38,0.4318181818181818,0.8112403947478721,0.5423507314929978,1.7498893528528279,3.571146719053715,4.128088884426527
8,stable,reference,all,622,622,0,1.0,476,0.7652733118971061,0.37781427069669854,0.08959486215911204,0.7438084212961412,1.5379421340009005,3.481113527001943
8,stable,julho_levels,all,622,622,0,1.0,437,0.702572347266881,0.4112354741256223,0.16261761339917039,0.8882924484868818,1.6905478888689185,3.076252751572131
8,stable,reference,level_ge_7m,34,34,0,1.0,17,0.5,0.842530864102115,0.340576137184121,1.989058395000168,3.1888551777032235,3.481113527001943
8,stable,julho_levels,level_ge_7m,34,34,0,1.0,17,0.5,0.8003806091871644,0.3830726356465926,1.8809831171976716,2.743760458826556,3.076252751572131
8,unknown,reference,all,23,9,14,0.391304347826087,5,0.5555555555555556,0.5767424872189495,-0.2888392057792847,1.086537945328952,1.1818829529921049,1.205719204907893
8,unknown,julho_levels,all,23,9,14,0.391304347826087,4,0.4444444444444444,0.5564587150671875,-0.08153310521419004,0.8317168237971313,1.167993397592686,1.2520625410415747
8,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,1.0567426304342167,1.0567426304342167,1.0567426304342167,1.0567426304342167,1.0567426304342167
8,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,1.2520625410415747,1.2520625410415747,1.2520625410415747,1.2520625410415747,1.2520625410415747
9,rising,reference,all,454,454,0,1.0,321,0.7070484581497798,0.5166527302267266,-0.030163262238563398,1.0399583557623016,3.0552517095295944,7.366754135676329
9,rising,julho_levels,all,454,454,0,1.0,343,0.7555066079295154,0.49032988274421163,-0.057885385526911505,0.9796829304526494,2.7999044725363245,6.286673602768847
9,rising,reference,level_ge_7m,115,115,0,1.0,36,0.3130434782608696,1.249459002321538,-0.05695510941995377,2.6216825895543483,6.601307079767492,7.366754135676329
9,rising,julho_levels,level_ge_7m,115,115,0,1.0,42,0.3652173913043478,1.1654310743633345,0.041528489233599225,2.53007868470246,5.642370528265717,6.286673602768847
9,falling,reference,all,836,835,1,0.9988038277511961,445,0.5329341317365269,0.5411876358146568,-0.14183991687496875,1.130346048894599,1.7001179232439758,5.194239871862412
9,falling,julho_levels,all,836,835,1,0.9988038277511961,509,0.6095808383233533,0.4744959724033345,0.01679743620118022,0.8541125707728777,1.4966032481447626,4.609121552424511
9,falling,reference,level_ge_7m,85,84,1,0.9882352941176471,32,0.38095238095238093,0.9067060446363419,0.5391645630273963,2.0172148878716523,4.3802628760615505,5.194239871862412
9,falling,julho_levels,level_ge_7m,85,84,1,0.9882352941176471,33,0.39285714285714285,0.8829826240323003,0.576888326758907,1.8565617577138203,3.9316076334532895,4.609121552424511
9,stable,reference,all,622,622,0,1.0,436,0.7009646302250804,0.42298846740036167,0.09244596846453758,0.8717817536240654,1.5811010470944606,4.209504100862993
9,stable,julho_levels,all,622,622,0,1.0,425,0.6832797427652733,0.44320153433928505,0.18149567424015092,0.9805633365512096,1.7264675280709707,3.6917755331820246
9,stable,reference,level_ge_7m,35,35,0,1.0,16,0.45714285714285713,0.9838024262341124,0.2193114164786611,2.21026148009687,3.7300995199803255,4.209504100862993
9,stable,julho_levels,level_ge_7m,35,35,0,1.0,17,0.4857142857142857,0.9446089453235081,0.2642086012081128,2.071226698964893,3.252985268820772,3.6917755331820246
9,unknown,reference,all,24,9,15,0.375,5,0.5555555555555556,0.6183595047251236,-0.2579972264580086,1.2380805764041547,1.28696966481824,1.2991919369217615
9,unknown,julho_levels,all,24,9,15,0.375,4,0.4444444444444444,0.6069984480893214,-0.014115363587807591,1.0003650534848063,1.3593018132475336,1.4490360031882155
9,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,1.2228027362747529,1.2228027362747529,1.2228027362747529,1.2228027362747529,1.2228027362747529
9,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,1.4490360031882155,1.4490360031882155,1.4490360031882155,1.4490360031882155,1.4490360031882155
10,rising,reference,all,453,453,0,1.0,311,0.6865342163355408,0.5688909422324191,-0.008540383198159642,1.222304349440952,3.228922433897867,8.405707625670848
10,rising,julho_levels,all,453,453,0,1.0,332,0.7328918322295805,0.5284942626192548,-0.03339227789518781,1.0990841591847331,2.931470762728497,7.189303791286582
10,rising,reference,level_ge_7m,117,117,0,1.0,36,0.3076923076923077,1.3428425972418536,-0.08764754968439334,2.776733177434502,7.1156298238037605,8.405707625670848
10,rising,julho_levels,level_ge_7m,117,117,0,1.0,44,0.37606837606837606,1.2560431359416033,0.03105518594110331,2.7398038096327286,6.639418119535203,7.189303791286582
10,falling,reference,all,835,834,1,0.9988023952095808,397,0.47601918465227816,0.6029857486012121,-0.16509283956457138,1.225398409177126,1.7993158957522362,5.7443205338491365
