phase,horizon_h,subset,axis,stratum,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,6,all,transition,both_hit,1726,1726,0,1726,0,1726,0,0,0,1726,1726,0.13080154329658836,0.1281877480571091,-4.51141058334111,0,0,0,0
test,6,all,transition,miss_to_hit,25,25,0,25,0,0,0,25,0,0,25,0.5797457959984075,0.40429567928639015,-4.386252917800432,14,0,11,0
test,6,all,transition,both_miss,149,149,0,149,0,0,0,0,149,0,0,1.1339657056450616,1.0955487978686451,-5.724119258686056,86,86,63,63
test,6,all,transition,hit_to_miss,26,26,0,26,0,0,26,0,0,26,0,0.42430162616873895,0.5591314101853073,3.5055743844307763,0,15,0,11
test,6,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,6,all,transition,missing_forecast,13,13,0,0,13,0,0,0,0,0,0,,,0,0,0,0,0
test,6,level_ge_7m,total,all,237,237,0,236,1,146,5,10,75,151,156,0.6573286391827966,0.6199889547214076,-8.812165532887803,45,37,40,43
test,6,level_ge_7m,target_level,7to9,120,120,0,120,0,100,1,7,12,101,107,0.2897194114679988,0.2675131480644054,-2.6647516084312066,15,8,4,5
test,6,level_ge_7m,target_level,atleast9,117,117,0,116,1,46,4,3,63,50,49,1.0376140471636222,0.9846190995389963,-6.147413924456598,30,29,36,38
test,6,level_ge_7m,known_trend,stable,69,69,0,69,0,54,1,4,10,55,58,0.43434415713561586,0.4121282254315535,-1.5328992875803085,10,7,4,4
test,6,level_ge_7m,known_trend,rising,85,85,0,85,0,36,4,3,42,40,39,0.9792648009967906,0.9465157197664515,-2.7836719045788305,28,26,17,20
test,6,level_ge_7m,known_trend,falling,81,81,0,81,0,56,0,3,22,56,59,0.5088204736673924,0.453446124763462,-4.48532226121835,7,4,18,18
test,6,level_ge_7m,known_trend,unknown,2,2,0,1,1,0,0,0,1,0,0,0.707845552996524,0.6975734734862087,-0.01027207951031528,0,0,1,1
test,6,level_ge_7m,upstream,missing,97,97,0,96,1,47,2,4,43,49,51,1.0175007373971345,0.9715043129322115,-4.415656748632611,22,19,25,26
test,6,level_ge_7m,upstream,complete,140,140,0,140,0,99,3,6,32,102,105,0.4103534861215363,0.378949851948285,-4.396508784255193,23,18,15,17
test,6,level_ge_7m,transition,both_hit,146,146,0,146,0,146,0,0,0,146,146,0.19674317717439072,0.1811261161338104,-2.2800909119247263,0,0,0,0
test,6,level_ge_7m,transition,hit_to_miss,5,5,0,5,0,0,5,0,0,5,0,0.35398352917935477,0.5989772234976172,1.2249684715913123,0,1,0,4
test,6,level_ge_7m,transition,both_miss,75,75,0,75,0,0,0,0,75,0,0,1.579108895409327,1.5041399227752612,-5.622672947554953,36,36,39,39
test,6,level_ge_7m,transition,miss_to_hit,10,10,0,10,0,0,0,10,0,0,10,0.620197017808266,0.4067600033083223,-2.134370144999437,9,0,1,0
