phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,aged_hits,hits_delta,reference_mae_m,aged_mae_m,mae_m_delta,reference_bias_m,aged_bias_m,bias_m_delta,reference_p98_abs_m,aged_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,aged_max_abs_m,max_abs_m_delta
test,A,3,missing24,level_ge_7m,profile_A_control,matching_profile,95,94,1,74,74,0,0.4028140698517237,0.37464852188837966,-0.02816554796334403,-0.1354212875766592,-0.11725956636763622,0.01816172120902297,3.183904606204276,3.0187985245480693,-0.16510608165620688,3.8502978392165037,3.6904468704586115,-0.15985096875789218
test,A,3,missing24,level_ge_7m,profile_B_control,cross_profile,95,94,1,75,74,-1,0.3528088354810204,0.37464852188837966,0.021839686407359282,-0.11887551943786133,-0.11725956636763622,0.0016159530702251068,2.935300043269788,3.0187985245480693,0.0834984812782813,3.591469992707828,3.6904468704586115,0.09897687775078357
test,A,4,full_schedule,all,mixed_profile_candidate,primary_unaged,1941,1931,10,1864,1858,-6,0.13045457157932483,0.12784332428219458,-0.002611247297130248,-0.006074819548535502,-0.0008449397938084082,0.005229879754727094,0.6623708958096728,0.6605227992721029,-0.0018480965375698988,4.7455033562984505,4.870926028514681,0.1254226722162306
test,A,4,full_schedule,all,profile_A_control,matching_profile,1941,1931,10,1878,1858,-20,0.11497979365427792,0.12784332428219458,0.012863530627916661,-0.0066789439994183655,-0.0008449397938084082,0.005834004205609957,0.6314555948257827,0.6605227992721029,0.02906720444632016,4.579107233006882,4.870926028514681,0.2918187955077993
test,A,4,full_schedule,all,profile_B_control,cross_profile,1941,1931,10,1857,1858,1,0.14274974733421603,0.12784332428219458,-0.014906423052021445,-0.008595849826159976,-0.0008449397938084082,0.007750910032351568,0.6845921962755657,0.6605227992721029,-0.024069397003462778,4.745916441945315,4.870926028514681,0.1250095865693659
test,A,4,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unaged,237,236,1,199,199,0,0.36092812417098286,0.3620724918759838,0.001144367705000926,-0.10023364114723851,-0.10994635845394764,-0.009712717306709126,2.3151663431946967,2.3389905330473764,0.023824189852679645,4.7455033562984505,4.870926028514681,0.1254226722162306
test,A,4,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,199,199,0,0.34447883082737046,0.3620724918759838,0.017593661048613318,-0.0846524882924419,-0.10994635845394764,-0.025293870161505735,2.1717562253460576,2.3389905330473764,0.16723430770131875,4.579107233006882,4.870926028514681,0.2918187955077993
test,A,4,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,201,199,-2,0.35548726889395527,0.3620724918759838,0.006585222982028516,-0.10532369205205049,-0.10994635845394764,-0.004622666401897152,2.333211396248645,2.3389905330473764,0.005779136798731432,4.745916441945315,4.870926028514681,0.1250095865693659
test,A,4,complete24,all,mixed_profile_candidate,primary_unaged,1345,1345,0,1319,1317,-2,0.10483660663078839,0.1012729974860159,-0.003563609144772495,0.003973479744191185,0.011036123875641193,0.007062644131450009,0.4957601626034169,0.5058803584156399,0.010120195812223065,1.1275417261449672,1.1909297332221467,0.06338800707717951
test,A,4,complete24,all,profile_A_control,matching_profile,1345,1345,0,1327,1317,-10,0.08960267220847443,0.1012729974860159,0.011670325277541471,0.0048495547602637355,0.011036123875641193,0.006186569115377458,0.43281041448884344,0.5058803584156399,0.0730699439267965,1.0126687812034216,1.1909297332221467,0.17826095201872505
test,A,4,complete24,all,profile_B_control,cross_profile,1345,1345,0,1319,1317,-2,0.1189519069614705,0.1012729974860159,-0.0176789094754546,-0.00036699678096311207,0.011036123875641193,0.011403120656604305,0.4960147081108131,0.5058803584156399,0.009865650304826834,1.11492535080016,1.1909297332221467,0.0760043824219867
test,A,4,complete24,level_ge_7m,mixed_profile_candidate,primary_unaged,141,141,0,127,127,0,0.21817461329975182,0.21942907216971683,0.0012544588699650028,-0.005596108087970437,-0.022697678604564647,-0.01710157051659421,0.9707681531764454,0.9752367224586113,0.0044685692821658796,1.1275417261449672,1.1909297332221467,0.06338800707717951
test,A,4,complete24,level_ge_7m,profile_A_control,matching_profile,141,141,0,129,127,-2,0.21401654763344402,0.21942907216971683,0.005412524536272806,-0.014772773930388377,-0.022697678604564647,-0.00792490467417627,0.8610170378343888,0.9752367224586113,0.1142196846242225,1.0126687812034216,1.1909297332221467,0.17826095201872505
test,A,4,complete24,level_ge_7m,profile_B_control,cross_profile,141,141,0,129,127,-2,0.21542542670658452,0.21942907216971683,0.00400364546313231,-0.02632521716014023,-0.022697678604564647,0.0036275385555755817,0.8142006315275215,0.9752367224586113,0.16103609093108973,1.11492535080016,1.1909297332221467,0.0760043824219867
test,A,4,missing24,all,mixed_profile_candidate,primary_unaged,596,586,10,545,541,-4,0.18925348430250144,0.1888281187205228,-0.0004253655819786428,-0.02913789557023754,-0.028114616646043415,0.0010232789241941265,1.303990659513822,1.3012531811906292,-0.0027374783231928213,4.7455033562984505,4.870926028514681,0.1254226722162306
test,A,4,missing24,all,profile_A_control,matching_profile,596,586,10,551,541,-10,0.17322591710923643,0.1888281187205228,0.015602201611286365,-0.03313940616967849,-0.028114616646043415,0.0050247895236350745,1.1060064429972427,1.3012531811906292,0.19524673819338645,4.579107233006882,4.870926028514681,0.2918187955077993
test,A,4,missing24,all,profile_B_control,cross_profile,596,586,10,538,541,3,0.19737107037405,0.1888281187205228,-0.008542951653527198,-0.02748289307836097,-0.028114616646043415,-0.0006317235676824469,1.2059032491950852,1.3012531811906292,0.09534993199554398,4.745916441945315,4.870926028514681,0.1250095865693659
test,A,4,missing24,level_ge_7m,mixed_profile_candidate,primary_unaged,96,95,1,72,72,0,0.5728043876745994,0.5737853569137064,0.0009809692391069547,-0.24069566389836267,-0.23944176749355814,0.0012538964048045276,3.92262320661903,4.009265230776932,0.08664202415790179,4.7455033562984505,4.870926028514681,0.1254226722162306
test,A,4,missing24,level_ge_7m,profile_A_control,matching_profile,96,95,1,70,72,2,0.5381123248309875,0.5737853569137064,0.03567303208271888,-0.1883686959245424,-0.23944176749355814,-0.05107307156901575,3.732097286452388,4.009265230776932,0.27716794432454384,4.579107233006882,4.870926028514681,0.2918187955077993
test,A,4,missing24,level_ge_7m,profile_B_control,cross_profile,96,95,1,72,72,0,0.5633685294036319,0.5737853569137064,0.010416827510074445,-0.22257406004951727,-0.23944176749355814,-0.01686770744404087,3.911908739871886,4.009265230776932,0.09735649090504594,4.745916441945315,4.870926028514681,0.1250095865693659
test,A,5,full_schedule,all,mixed_profile_candidate,primary_unaged,1940,1929,11,1845,1843,-2,0.1592206798094355,0.15896029217930438,-0.00026038763013111477,-0.012761179648897093,-0.011241467937370422,0.001519711711526671,0.807484587166888,0.7919055043392701,-0.015579082827617885,5.4406707406415205,5.651867985266682,0.21119724462516132
