phase,profile,horizon_h,subset,family,reference,observed_targets,pairs,failures,old_hits,new_hits,delta_hits,old_mae_m,new_mae_m,old_max_m,new_max_m
test,B,3,all,linear_trend_hybrid,mixed_profile_candidate,1942,1934,8,1881,1905,24,0.0984848429997664,0.08171173329323513,3.9207443853420045,2.8760752397914278
test,B,3,all,linear_trend_hybrid,profile_B_control,1942,1934,8,1893,1905,12,0.0969247468811543,0.08171173329323513,3.971469992707828,2.8760752397914278
test,B,3,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,203,213,10,0.2894468775030307,0.2845006963130756,3.9207443853420045,3.330207234821282
test,B,3,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,207,213,6,0.27295513304405666,0.2845006963130756,3.971469992707828,3.330207234821282
test,B,3,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,203,217,14,0.2894468775030307,0.2154481067271518,3.9207443853420045,2.8760752397914278
test,B,3,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,207,217,10,0.27295513304405666,0.2154481067271518,3.971469992707828,2.8760752397914278
test,B,4,all,linear_trend_only,mixed_profile_candidate,1941,1932,9,1865,1831,-34,0.12911540247463166,0.17287819336395222,5.078591233547437,4.182404890012066
test,B,4,all,linear_trend_only,profile_B_control,1941,1932,9,1866,1831,-35,0.12304284797867071,0.17287819336395222,5.1179488471626104,4.182404890012066
test,B,4,all,linear_trend_hybrid,mixed_profile_candidate,1941,1932,9,1865,1872,7,0.12911540247463166,0.10746326935072893,5.078591233547437,3.683441510997916
test,B,4,all,linear_trend_hybrid,profile_B_control,1941,1932,9,1866,1872,6,0.12304284797867071,0.10746326935072893,5.1179488471626104,3.683441510997916
test,B,4,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,186,188,2,0.4131174956725263,0.4020258374606205,5.078591233547437,4.182404890012066
test,B,4,level_ge_7m,linear_trend_only,profile_B_control,237,236,1,192,188,-4,0.4009070967444646,0.4020258374606205,5.1179488471626104,4.182404890012066
test,B,4,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,186,200,14,0.4131174956725263,0.3037923469082037,5.078591233547437,3.683441510997916
test,B,4,level_ge_7m,linear_trend_hybrid,profile_B_control,237,236,1,192,200,8,0.4009070967444646,0.3037923469082037,5.1179488471626104,3.683441510997916
test,B,5,all,linear_trend_only,mixed_profile_candidate,1940,1930,10,1828,1763,-65,0.1625412373542548,0.21522639826838155,5.651905624290726,5.118198422853479
test,B,5,all,linear_trend_only,profile_B_control,1940,1930,10,1836,1763,-73,0.16151947820922183,0.21522639826838155,5.909113440846849,5.118198422853479
test,B,5,all,linear_trend_hybrid,mixed_profile_candidate,1940,1930,10,1828,1856,28,0.1625412373542548,0.13954758418651747,5.651905624290726,4.020312098884585
