phase,profile,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,A,3,full_schedule,level_ge_7m,linear_trend_only,1965,23,237,236,1,220,0.9322033898305084,0.9282700421940928,0.19987563227588045,0.047690529286880286,0.8517996482610998,2.097196714472455
test,A,3,full_schedule,level_ge_7m,linear_trend_hybrid,1965,23,237,236,1,219,0.9279661016949152,0.9240506329113924,0.17371479796714578,-0.00045603608330315587,0.7275656142737194,1.7044724619281792
test,A,3,complete24,all,profile_A_control,1351,5,1346,1346,0,1337,0.9933135215453195,0.9933135215453195,0.06676184143982879,0.0008533600840207653,0.3472407943730499,0.9541938231108986
test,A,3,complete24,all,profile_B_control,1351,5,1346,1346,0,1315,0.9769687964338781,0.9769687964338781,0.11894199675714617,0.007555344036208855,0.5225955024622742,1.1076891363066506
test,A,3,complete24,all,mixed_profile_candidate,1351,5,1346,1346,0,1321,0.9814264487369985,0.9814264487369985,0.09353934393409843,0.005249048832444129,0.40826632419709485,1.0753632970139049
test,A,3,complete24,all,linear_trend_only,1351,5,1346,1346,0,1321,0.9814264487369985,0.9814264487369985,0.09392711978618201,0.006371251103451609,0.4880845280715054,1.0088218615814313
test,A,3,complete24,all,linear_trend_hybrid,1351,5,1346,1346,0,1323,0.9829123328380386,0.9829123328380386,0.1045334402279174,0.0017407401979118477,0.471690475626447,1.1574490212912254
test,A,3,complete24,level_ge_7m,profile_A_control,1351,5,142,142,0,136,0.9577464788732394,0.9577464788732394,0.15419241973272838,-0.009339708535082389,0.7465230322859905,0.9541938231108986
test,A,3,complete24,level_ge_7m,profile_B_control,1351,5,142,142,0,136,0.9577464788732394,0.9577464788732394,0.1476928718663916,-0.003641382097772714,0.6821020741011882,0.7451468353396038
test,A,3,complete24,level_ge_7m,mixed_profile_candidate,1351,5,142,142,0,135,0.9507042253521126,0.9507042253521126,0.1444212101017265,-0.010512252389214603,0.6473228658122127,0.8009367996348562
test,A,3,complete24,level_ge_7m,linear_trend_only,1351,5,142,142,0,137,0.9647887323943662,0.9647887323943662,0.17545298378532848,0.04161350427093484,0.6568402390483976,1.0088218615814313
test,A,3,complete24,level_ge_7m,linear_trend_hybrid,1351,5,142,142,0,135,0.9507042253521126,0.9507042253521126,0.15746125135732333,0.008216775398348522,0.5597919813941193,0.6897280505577541
test,A,3,missing24,all,profile_A_control,614,18,596,587,9,559,0.9522998296422487,0.9379194630872483,0.13862290520067225,-0.0233390548549982,0.8135732498407686,3.8502978392165037
test,A,3,missing24,all,profile_B_control,614,18,596,587,9,536,0.9131175468483816,0.8993288590604027,0.17087123777127447,-0.01279181226878141,0.9869612549858086,3.591469992707828
test,A,3,missing24,all,mixed_profile_candidate,614,18,596,587,9,548,0.9335604770017035,0.9194630872483222,0.15066004565034355,0.0016334461323469335,0.9082153699331775,3.5417724438313964
test,A,3,missing24,all,linear_trend_only,614,18,596,587,9,545,0.9284497444633731,0.9144295302013423,0.15141660261689321,0.008551488323231897,0.7778162985783447,2.097196714472455
test,A,3,missing24,all,linear_trend_hybrid,614,18,596,587,9,560,0.9540034071550255,0.9395973154362416,0.11443980599572887,0.01733272272323878,0.8078428157720638,1.7044724619281792
test,A,3,missing24,level_ge_7m,profile_A_control,614,18,95,94,1,74,0.7872340425531915,0.7789473684210526,0.4028140698517237,-0.1354212875766592,3.183904606204276,3.8502978392165037
test,A,3,missing24,level_ge_7m,profile_B_control,614,18,95,94,1,75,0.7978723404255319,0.7894736842105263,0.3528088354810204,-0.11887551943786133,2.935300043269788,3.591469992707828
test,A,3,missing24,level_ge_7m,mixed_profile_candidate,614,18,95,94,1,76,0.8085106382978723,0.8,0.36187333117005677,-0.10387847354974337,2.9191550411005736,3.5417724438313964
test,A,3,missing24,level_ge_7m,linear_trend_only,614,18,95,94,1,83,0.8829787234042553,0.8736842105263158,0.23676942042118237,0.05687071601309575,1.5141137975532133,2.097196714472455
test,A,3,missing24,level_ge_7m,linear_trend_hybrid,614,18,95,94,1,84,0.8936170212765957,0.8842105263157894,0.19826802795219664,-0.013557517257713139,1.1971535878412296,1.7044724619281792
test,A,4,full_schedule,all,profile_A_control,1964,23,1941,1931,10,1878,0.9725530813050233,0.9675425038639877,0.11497979365427792,-0.0066789439994183655,0.6314555948257827,4.579107233006882
test,A,4,full_schedule,all,profile_B_control,1964,23,1941,1931,10,1857,0.9616778871051269,0.9567233384853169,0.14274974733421603,-0.008595849826159976,0.6845921962755657,4.745916441945315
test,A,4,full_schedule,all,mixed_profile_candidate,1964,23,1941,1931,10,1864,0.9653029518384257,0.9603297269448737,0.13045457157932483,-0.006074819548535502,0.6623708958096728,4.7455033562984505
