pet_mm_day,weather,correction_tau_h,lead_h,time,forecast_m,flow_m3_s,incremental_flow_m3_s,routed_upstream_flow_m3_s,rain_mm,soil_fraction,flow_correction_m3_s
1.0,mean,2.0,11,2026-09-22T04:00:00-03:00,24.399135068689574,13824.374976384204,1270.261816155078,12554.217007442476,0.0,0.9140537932541788,-0.1038472133495139
1.0,mean,2.0,12,2026-09-22T05:00:00-03:00,24.95581869933757,14346.488968856567,1161.7102288566796,13184.841726518709,0.0,0.9038293327067426,-0.06298651882219926
1.0,mean,6.0,1,2026-09-21T18:00:00-03:00,14.151478933235163,5599.78204026939,2078.820278894788,3544.340619247052,1.8666666666666665,0.9889378977538612,-23.37885787245012
1.0,mean,6.0,2,2026-09-21T19:00:00-03:00,15.337020086382193,6407.199905747545,2079.414145206227,4347.575536479162,1.6333333333333335,0.9889378977538612,-19.78977593784409
1.0,mean,6.0,3,2026-09-21T20:00:00-03:00,16.53963248167402,7267.195108128998,2049.2255879727877,5234.7212038272755,1.2,0.9889378977538612,-16.751683671065035
1.0,mean,6.0,4,2026-09-21T21:00:00-03:00,17.694243844110858,8130.486138804878,1993.686545942094,6150.979586951488,0.9,0.9889378977538612,-14.179994088705065
1.0,mean,6.0,5,2026-09-21T22:00:00-03:00,18.8673808484752,9044.308213929484,1917.378876291339,7138.932443493289,0.0,0.9778757955077223,-12.003105855145774
1.0,mean,6.0,6,2026-09-21T23:00:00-03:00,20.008683663933994,9967.891510651358,1825.1228258965007,8152.929094503166,0.0,0.9669374321802578,-10.160409748308425
1.0,mean,6.0,7,2026-09-22T00:00:00-03:00,21.14336444676522,10919.083583413632,1721.5969925963473,9206.08719198663,0.0,0.9561214236475772,-8.600601169343525
1.0,mean,6.0,8,2026-09-22T01:00:00-03:00,22.181290169494694,11817.319660130897,1611.0234660181145,10213.576445825705,0.0,0.9454264012683806,-7.280251712922139
1.0,mean,6.0,9,2026-09-22T02:00:00-03:00,23.009699235692068,12553.172864566553,1497.038137214889,11062.297327379256,0.0,0.9348510117107718,-6.1626000275921795
1.0,mean,6.0,10,2026-09-22T03:00:00-03:00,23.76892610402357,13242.101450005357,1382.6508806652082,11864.667097641317,0.0,0.9243939167810105,-5.216528301167175
1.0,mean,6.0,11,2026-09-22T04:00:00-03:00,24.394505244992693,13820.06312772324,1270.261816155078,12554.217007442476,0.0,0.9140537932541788,-4.415695874312695
1.0,mean,6.0,12,2026-09-22T05:00:00-03:00,24.95192737148303,14342.814149515109,1161.7102288566796,13184.841726518709,0.0,0.9038293327067426,-3.7378058602805786
1.0,mean,12.0,1,2026-09-21T18:00:00-03:00,14.14761182572674,5597.215382918959,2078.820278894788,3544.340619247052,1.8666666666666665,0.9889378977538612,-25.94551522288019
1.0,mean,12.0,2,2026-09-21T19:00:00-03:00,15.331173525169076,6403.118655319898,2079.414145206227,4347.575536479162,1.6333333333333335,0.9889378977538612,-23.871026365490998
1.0,mean,12.0,3,2026-09-21T20:00:00-03:00,16.53251199438437,7261.984387321024,2049.2255879727877,5234.7212038272755,1.2,0.9889378977538612,-21.96240447903931
1.0,mean,12.0,4,2026-09-21T21:00:00-03:00,17.686347988009054,8124.4597453208125,1993.686545942094,6150.979586951488,0.9,0.9889378977538612,-20.206387572770144
1.0,mean,12.0,5,2026-09-21T22:00:00-03:00,18.859087424278442,9037.720545758466,1917.378876291339,7138.932443493289,0.0,0.9778757955077223,-18.590774026162542
1.0,mean,12.0,6,2026-09-21T23:00:00-03:00,20.000254643594836,9960.94758259326,1825.1228258965007,8152.929094503166,0.0,0.9669374321802578,-17.10433780640674
1.0,mean,12.0,7,2026-09-22T00:00:00-03:00,21.13499308658414,10911.94743411826,1721.5969925963473,9206.08719198663,0.0,0.9561214236475772,-15.736750464717694
1.0,mean,12.0,8,2026-09-22T01:00:00-03:00,22.17309255656442,11810.12140247434,1611.0234660181145,10213.576445825705,0.0,0.9454264012683806,-14.47850936947892
1.0,mean,12.0,9,2026-09-22T02:00:00-03:00,23.00172972015111,12546.014592916597,1497.038137214889,11062.297327379256,0.0,0.9348510117107718,-13.320871677547405
1.0,mean,12.0,10,2026-09-22T03:00:00-03:00,23.7612445173204,13235.062184721603,1382.6508806652082,11864.667097641317,0.0,0.9243939167810105,-12.255793584921435
1.0,mean,12.0,11,2026-09-22T04:00:00-03:00,24.387138050021427,13813.202949162896,1270.261816155078,12554.217007442476,0.0,0.9140537932541788,-11.275874434656856
1.0,mean,12.0,12,2026-09-22T05:00:00-03:00,24.944898923932904,14336.177650081721,1161.7102288566796,13184.841726518709,0.0,0.9038293327067426,-10.37430529366762
3.0,gfs,2.0,1,2026-09-21T18:00:00-03:00,14.128051251935661,5584.239495229523,2033.0962010641226,3544.340619247052,0.6,0.986407539415907,6.802674918347838
3.0,gfs,2.0,2,2026-09-21T19:00:00-03:00,15.299263399396686,6380.860656596269,2029.1590892110705,4347.575536479162,1.8,0.986407539415907,4.126030906036099
3.0,gfs,2.0,3,2026-09-21T20:00:00-03:00,16.490302258580357,7231.124386676895,1993.900618602186,5234.7212038272755,0.9,0.986407539415907,2.50256424743279
3.0,gfs,2.0,4,2026-09-21T21:00:00-03:00,17.63491157623851,8085.242688055271,1932.7452191598145,6150.979586951488,0.1,0.9752507392524931,1.51788194396866
3.0,gfs,2.0,5,2026-09-21T22:00:00-03:00,18.800441632743357,8991.188136795412,1851.335051365282,7138.932443493289,0.0,0.9618120167131796,0.9206419368412057
3.0,gfs,2.0,6,2026-09-21T23:00:00-03:00,19.93663981479518,9908.599449818845,1755.1119577543675,8152.929094503166,0.0,0.9485584765646299,0.5583975613114132
3.0,gfs,2.0,7,2026-09-22T00:00:00-03:00,21.06861090764611,10855.422016769639,1648.9961395417654,9206.08719198663,0.0,0.9354875670376742,0.33868524124413707
3.0,gfs,2.0,8,2026-09-22T01:00:00-03:00,22.105710815652643,11751.016359181167,1537.2344903726553,10213.576445825705,0.0,0.9225967715259143,0.20542298280673885
3.0,gfs,2.0,9,2026-09-22T02:00:00-03:00,22.93460193652175,12485.78073354458,1423.3588108280424,11062.297327379256,0.0,0.9098836081011873,0.12459533728190826
3.0,gfs,2.0,10,2026-09-22T03:00:00-03:00,23.6955831533135,13174.948585954178,1310.2059174207432,11864.667097641317,0.0,0.8973456290357077,0.07557089211871389
3.0,gfs,2.0,11,2026-09-22T04:00:00-03:00,24.323756960549446,13754.236556719145,1199.9737132136174,12554.217007442476,0.0,0.884980420330796,0.04583606305183579
3.0,gfs,2.0,12,2026-09-22T05:00:00-03:00,24.884468964031647,14279.165142393309,1094.2956148970393,13184.841726518709,0.0,0.8727856012520981,0.02780097756145982
3.0,gfs,6.0,1,2026-09-21T18:00:00-03:00,14.133353570245381,5587.755776101687,2033.0962010641226,3544.340619247052,0.6,0.986407539415907,10.318955790512286
3.0,gfs,6.0,2,2026-09-21T19:00:00-03:00,15.3058741814028,6385.469433186856,2029.1590892110705,4347.575536479162,1.8,0.986407539415907,8.73480749662283
3.0,gfs,6.0,3,2026-09-21T20:00:00-03:00,16.49699697123065,7236.01567734579,1993.900618602186,5234.7212038272755,0.9,0.986407539415907,7.393854916328761
3.0,gfs,6.0,4,2026-09-21T21:00:00-03:00,17.641134594792803,8089.983569174467,1932.7452191598145,6150.979586951488,0.1,0.9752507392524931,6.258763063164916
3.0,gfs,6.0,5,2026-09-21T22:00:00-03:00,18.805963260332526,8995.56542341196,1851.335051365282,7138.932443493289,0.0,0.9618120167131796,5.297928553389501
3.0,gfs,6.0,6,2026-09-21T23:00:00-03:00,19.9414154016032,9912.525651957754,1755.1119577543675,8152.929094503166,0.0,0.9485584765646299,4.484599700220381
3.0,gfs,6.0,7,2026-09-22T00:00:00-03:00,21.072674969171075,10858.879463218082,1648.9961395417654,9206.08719198663,0.0,0.9354875670376742,3.796131689686479
3.0,gfs,6.0,8,2026-09-22T01:00:00-03:00,22.109143024112427,11754.024292298958,1537.2344903726553,10213.576445825705,0.0,0.9225967715259143,3.2133561005977316
3.0,gfs,6.0,9,2026-09-22T02:00:00-03:00,22.93749694362989,12488.37618542202,1423.3588108280424,11062.297327379256,0.0,0.9098836081011873,2.7200472147217454
3.0,gfs,6.0,10,2026-09-22T03:00:00-03:00,23.698017569078004,13177.175485320162,1310.2059174207432,11864.667097641317,0.0,0.8973456290357077,2.302470258101574
3.0,gfs,6.0,11,2026-09-22T04:00:00-03:00,24.325804198095895,13756.139719651681,1199.9737132136174,12554.217007442476,0.0,0.884980420330796,1.9489989955871576
3.0,gfs,6.0,12,2026-09-22T05:00:00-03:00,24.88618942913019,14280.787133447342,1094.2956148970393,13184.841726518709,0.0,0.8727856012520981,1.6497920315946917
3.0,gfs,12.0,1,2026-09-21T18:00:00-03:00,14.13506159776452,5588.888646829289,2033.0962010641226,3544.340619247052,0.6,0.986407539415907,11.451826518114926
3.0,gfs,12.0,2,2026-09-21T19:00:00-03:00,15.308457578499997,6387.270814715528,2029.1590892110705,4347.575536479162,1.8,0.986407539415907,10.53618902529561
3.0,gfs,12.0,3,2026-09-21T20:00:00-03:00,16.500144269027437,7238.315584293664,1993.900618602186,5234.7212038272755,0.9,0.986407539415907,9.693761864202
3.0,gfs,12.0,4,2026-09-21T21:00:00-03:00,17.644625495634237,8092.643497571208,1932.7452191598145,6150.979586951488,0.1,0.9752507392524931,8.918691459905784
3.0,gfs,12.0,5,2026-09-21T22:00:00-03:00,18.809630509232633,8998.473087122058,1851.335051365282,7138.932443493289,0.0,0.9618120167131796,8.205592263488562
3.0,gfs,12.0,6,2026-09-21T23:00:00-03:00,19.945142873326766,9915.590561588282,1755.1119577543675,8152.929094503166,0.0,0.9485584765646299,7.549509330748236
3.0,gfs,12.0,7,2026-09-22T00:00:00-03:00,21.076376928789273,10862.029215421342,1648.9961395417654,9206.08719198663,0.0,0.9354875670376742,6.945883892946877
3.0,gfs,12.0,8,2026-09-22T01:00:00-03:00,22.112767978137256,11757.20145787873,1537.2344903726553,10213.576445825705,0.0,0.9225967715259143,6.390521680369553
