phase,family,horizon_h,n,profile_A_rows,profile_B_rows,weights_sum,delta_sha256,weights_sha256,features_sha256
validation,mixed_profile_candidate,11,3516,1705,1811,4838,987668ed18fccf8f98d3d1ef8177c40069480007baa2bc9f8c5e99d48ff07749,fbc651043c74c8a4d85500773773c18bb295c28db156977353805630c8bdbfb7,18309b501fab4205b52cf6532d9104f5d1a10c85616ac6d6c3750709285db805
test,profile_A_control,11,9275,9275,0,11635,c62ba658a89aacd4feaa15abab18a8de279b253ddee7ebb67f11bc7834ac03aa,0c5312be2b004e782070a734392a46f4f9c25d678b6c30f77d203237a8820ae4,6746abec0f6946a5d3c9f89099fd968a4019a995074e086d532dbb7d1f6e8df1
test,profile_B_control,11,9275,0,9275,11659,029acfbbc8c115790e0dcacaddbbc67167aa7120a482a963bfcdb23886e807dd,83e685a781f99da0a3ac85727a80933977a2ef3872ea97d548b38f8f5deb0961,b81c6363822d5f32654c8b4a10ebc7b235e6865589f4c4d581577487aa05527a
test,mixed_profile_candidate,11,9275,4574,4701,11637,418356ff91988819ffe59fffbdd8f8e3ee2dec4fc1d7702ccdbce397ca03f84e,d5971ba2f30eb88a9484ea1917ac0eddb2b2017735ca228036d18b3fdd7d443d,8e1b91c67516cbc3a8022002ea6ae05cb8563a685afb1bb90b785f4a582fc90a
validation,profile_A_control,12,3513,3513,0,4901,0bb3f4ad3dab5f700f6892c9b4004d62a23328eb8c9a01fedde0b549dc75f6c3,73dbaf2c192e6abfd6dfa33d0d9bf97ddbcf0c7991578bdbb3fe66cc874e6479,aef39e3af9d94c2ddf50b842a168a7d4ae32a38767524bcb4f8e8a1d1aba27ee
validation,profile_B_control,12,3513,0,3513,4923,4138a1d4c9ea7169795e5da0fc2381433bcfd73a9240b2cb988ef3b8f93d8e19,60608758c01003345909e6d2cd992dac22035b25272dd6b3faddc919e4fc202d,738e3975e0d2bf305008b0fe7030fed9faeaf4679f5b16ce1d5a73bd39592964
validation,mixed_profile_candidate,12,3513,1704,1809,4909,f322e3a7132249c31b138bc5486c5a4897f82681cddaa293e55fa77d9a8817e9,fbf61f15af21790cb9f38486e3845b2b7efcb3606384231899a387680a43273b,0d85454889a1a684a04007e90c3efec86f7252e483b1466a796889d0fab8abdb
test,profile_A_control,12,9269,9269,0,11735,09eb6fb31a63be27a4a90e5a89eb55037e4d460ba02511e28d831c96a7de244b,629c9556ecc5949101d39ae001b3af31ffd0df61c730572c7c2074a6c234cbdc,95cf98aa51a5a5a46ac86d14387456d6da10dd8ca173a3ed78447144f4d20b7a
test,profile_B_control,12,9269,0,9269,11767,4504980d3c71c7bd84b194b2a1899fe9dc9b3edf27333519d1fcadfcc4639616,7301b0c26053143ad93754f7e2f1bbb35340ba766b2d8e18d464506b88b817d6,dc17565e9ce30e5cbd2fe9a85fc890ed33d13201732bea53ca78a48a22ed0411
test,mixed_profile_candidate,12,9269,4571,4698,11749,3135cfed98ac4243d2e77caae34459d0ae2e68c8f28f7cc6121d638ff8f376d3,ebde0541ad4a5fbbbd9e64f22c9c92115e7ea7a344a7d31161d4191e5b08fc41,6c22c188671fe8010cdaed6ebab1ec2c6f9687ff18e8fe46516453a79a3f99bb
