id,rede,nome,subbacia,registros_hoje,ultima_leitura,atraso_min,chuva_campo20,acumulado_campo21,nivel_campo45,codigo_usa_fonte_ANA_na_previsao_12h,telemetria_SIGMA_direta_na_previsao_12h,fonte
17561,cemaden,CEMADEN - Bento Gonçalves - Faria Lemos (349 m),Baixo Antas,49,2026-09-21T14:10:00-03:00,18.6,2.0,134.6,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17561.txt
17717,cemaden,CEMADEN - Muçum - G2-431260903A (60 m),Baixo Antas,46,2026-09-21T14:00:00-03:00,28.6,3.2,128.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17717.txt
17718,cemaden,CEMADEN - Muçum - G2-431260902A (136 m),Baixo Antas,45,2026-09-21T14:00:00-03:00,28.6,3.8,144.8,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17718.txt
17719,cemaden,CEMADEN - Muçum - G2-431260901A (517 m),Baixo Antas,15,2026-09-21T14:10:00-03:00,18.6,-999.9,-0.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17719.txt
17786,cemaden,CEMADEN - Caxias do Sul - G2-430510807A (859 m),Alto Antas,51,2026-09-21T14:10:00-03:00,18.6,2.8,174.4,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17786.txt
17789,cemaden,CEMADEN - Jaquirana - G2-431112201A (928 m),Tainhas,46,2026-09-21T14:10:00-03:00,18.6,6.8,159.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17789.txt
17793,cemaden,CEMADEN - Monte Alegre dos Campos - G2-431237701A (964 m),Alto Antas,35,2026-09-21T14:10:00-03:00,18.6,19.4,65.8,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17793.txt
17794,cemaden,CEMADEN - Muitos Capões - G2-431261701A (928 m),Prata-Turvo,19,2026-09-21T14:10:00-03:00,18.6,10.6,13.8,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17794.txt
17795,cemaden,CEMADEN - Nova Bassano - G2-431290601A (545 m),Carreiro,32,2026-09-21T14:00:00-03:00,28.6,1.0,113.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17795.txt
17796,cemaden,CEMADEN - Paraí - G2-431400101A (641 m),Carreiro,27,2026-09-21T14:10:00-03:00,18.6,18.4,69.8,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17796.txt
17804,cemaden,CEMADEN - Vanini - G2-432255801A (734 m),Carreiro,23,2026-09-21T14:10:00-03:00,18.6,4.4,17.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17804.txt
17805,cemaden,CEMADEN - Vanini - G2-432255802A (721 m),Carreiro,22,2026-09-21T14:10:00-03:00,18.6,4.4,17.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17805.txt
17819,cemaden,CEMADEN - André da Rocha - G2-430066101A (707 m),Prata-Turvo,25,2026-09-21T14:00:00-03:00,28.6,3.8,35.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17819.txt
17822,cemaden,CEMADEN - Campestre da Serra - G2-430367301A (761 m),Alto Antas,15,2026-09-21T14:10:00-03:00,18.6,-999.9,0.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17822.txt
17824,cemaden,CEMADEN - Ipê - G2-431043901A (767 m),Alto Antas,33,2026-09-21T14:10:00-03:00,18.6,2.6,100.6,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17824.txt
17825,cemaden,CEMADEN - Nova Bassano - G2-431290602A (621 m),Carreiro,34,2026-09-21T14:00:00-03:00,28.6,1.8,95.6,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17825.txt
17826,cemaden,CEMADEN - Paraí - G2-431400102A (720 m),Carreiro,30,2026-09-21T14:10:00-03:00,18.6,4.2,59.4,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17826.txt
17895,cemaden,CEMADEN - Cambará do Sul - G2-430360801A (1025 m),Alto Antas,50,2026-09-21T14:10:00-03:00,18.6,4.4,88.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17895.txt
17896,cemaden,CEMADEN - Cambará do Sul - G2-430360802A (1045 m),Alto Antas,46,2026-09-21T14:20:00-03:00,8.6,5.4,103.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/17896.txt
