phase,profile,horizon_h,subset,family,carreiro_availability,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,3,level_ge_7m,carreiro_missing_exposure,complete,147,5,142,142,0,136,21.04595109842787,0.1482109232283653,-0.0050168022786740585,0.7626473749297329
test,A,3,level_ge_7m,carreiro_missing_exposure,partial,16,0,16,16,0,16,1.859568545338063,0.11622303408362894,0.052185340076846554,0.32322259878007564
test,A,3,level_ge_7m,carreiro_missing_exposure,fully_missing,97,18,79,78,1,58,32.969120997823254,0.4226810384336315,-0.15233704607127171,3.569719370791849
test,A,4,all,profile_A_control,complete,1404,5,1399,1394,5,1373,129.61231352597542,0.0929787041075864,0.0030054485456482904,1.0126687812034216
test,A,4,all,profile_A_control,partial,16,0,16,16,0,16,2.551462547310771,0.15946640920692318,0.11095531118895402,0.4678346909084201
test,A,4,all,profile_A_control,fully_missing,544,18,526,521,5,489,89.86220547312448,0.17248024083133295,-0.03620330348279049,4.579107233006882
test,A,4,all,profile_B_control,complete,1404,5,1399,1394,5,1367,166.67883247661467,0.11956874639642373,-0.0010078787010920345,1.11492535080016
test,A,4,all,profile_B_control,partial,16,0,16,16,0,16,2.3994024748208727,0.14996265467630454,0.05463460660083519,0.36443902257543925
test,A,4,all,profile_B_control,fully_missing,544,18,526,521,5,474,106.57152715093557,0.2045518755296268,-0.030840224204618006,4.745916441945315
test,A,4,all,mixed_profile_candidate,complete,1404,5,1399,1394,5,1367,148.5992950123382,0.1065992073259241,0.0016129934516187381,1.1275417261449672
test,A,4,all,mixed_profile_candidate,partial,16,0,16,16,0,16,2.392060014992846,0.14950375093705287,0.05710245566868527,0.4089451156573425
test,A,4,all,mixed_profile_candidate,fully_missing,544,18,526,521,5,481,100.91642269234522,0.1936975483538296,-0.028584700020110446,4.7455033562984505
test,A,4,all,carreiro_missing_exposure,complete,1404,5,1399,1394,5,1368,150.6748945862667,0.10808815967450983,0.0009287631608081338,1.3416352072626214
test,A,4,all,carreiro_missing_exposure,partial,16,0,16,16,0,16,2.400589897027004,0.15003686856418774,0.07292102800960887,0.41809945948685545
test,A,4,all,carreiro_missing_exposure,fully_missing,544,18,526,521,5,481,98.03389194318055,0.1881648597757784,-0.020376563393489953,4.495891280183935
test,A,4,level_ge_7m,profile_A_control,complete,146,5,141,141,0,129,30.17633321631561,0.21401654763344402,-0.014772773930388377,1.0126687812034216
test,A,4,level_ge_7m,profile_A_control,partial,16,0,16,16,0,16,2.551462547310771,0.15946640920692318,0.11095531118895402,0.4678346909084201
test,A,4,level_ge_7m,profile_A_control,fully_missing,98,18,80,79,1,54,48.56920831163306,0.6148001052105451,-0.24899127964373155,4.579107233006882
test,A,4,level_ge_7m,profile_B_control,complete,146,5,141,141,0,129,30.374985165628416,0.21542542670658452,-0.02632521716014023,1.11492535080016
test,A,4,level_ge_7m,profile_B_control,partial,16,0,16,16,0,16,2.3994024748208727,0.14996265467630454,0.05463460660083519,0.36443902257543925
test,A,4,level_ge_7m,profile_B_control,fully_missing,98,18,80,79,1,56,51.12060781852416,0.6470963015003057,-0.2787175874723735,4.745916441945315
test,A,4,level_ge_7m,mixed_profile_candidate,complete,146,5,141,141,0,127,30.762620475265006,0.21817461329975182,-0.005596108087970437,1.1275417261449672
test,A,4,level_ge_7m,mixed_profile_candidate,partial,16,0,16,16,0,16,2.392060014992846,0.14950375093705287,0.05710245566868527,0.4089451156573425
test,A,4,level_ge_7m,mixed_profile_candidate,fully_missing,98,18,80,79,1,56,52.024356814094105,0.6585361622037228,-0.30100920710181556,4.7455033562984505
