phase,profile,horizon_h,family,subset,partition,scheduled_parent,classified_rows,observed_targets,unknown_truth
test,B,4,profile_B_control,level_ge_7m,training_response_support,1964,260,237,23
test,B,4,mixed_profile_candidate,level_ge_7m,known_trend,1964,260,237,23
test,B,4,mixed_profile_candidate,level_ge_7m,future_response,1964,260,237,23
test,B,4,mixed_profile_candidate,level_ge_7m,training_response_support,1964,260,237,23
test,B,4,age_mixed_candidate,level_ge_7m,known_trend,1964,260,237,23
test,B,4,age_mixed_candidate,level_ge_7m,future_response,1964,260,237,23
test,B,4,age_mixed_candidate,level_ge_7m,training_response_support,1964,260,237,23
test,B,5,profile_A_control,all,known_trend,1963,1963,1940,23
test,B,5,profile_A_control,all,future_response,1963,1963,1940,23
test,B,5,profile_A_control,all,training_response_support,1963,1963,1940,23
test,B,5,profile_B_control,all,known_trend,1963,1963,1940,23
test,B,5,profile_B_control,all,future_response,1963,1963,1940,23
test,B,5,profile_B_control,all,training_response_support,1963,1963,1940,23
test,B,5,mixed_profile_candidate,all,known_trend,1963,1963,1940,23
test,B,5,mixed_profile_candidate,all,future_response,1963,1963,1940,23
test,B,5,mixed_profile_candidate,all,training_response_support,1963,1963,1940,23
test,B,5,age_mixed_candidate,all,known_trend,1963,1963,1940,23
