phase,profile,horizon_h,subset,partition,category,pairs,gained,lost,both_hit,both_miss,net_hits
test,B,8,all,future_response,stable,672,5,2,615,50,3
test,B,8,all,future_response,unknown,0,0,0,0,0,0
test,B,8,level_ge_7m,known_trend,rising,91,1,0,30,60,1
test,B,8,level_ge_7m,known_trend,falling,75,1,0,45,29,1
test,B,8,level_ge_7m,known_trend,stable,69,0,0,49,20,0
test,B,8,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,B,8,level_ge_7m,future_response,rising,86,1,0,27,58,1
test,B,8,level_ge_7m,future_response,falling,110,1,0,71,38,1
test,B,8,level_ge_7m,future_response,stable,40,0,0,26,14,0
test,B,8,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,9,all,known_trend,rising,339,1,4,250,84,-3
test,B,9,all,known_trend,falling,460,4,7,335,114,-3
test,B,9,all,known_trend,stable,1119,5,9,922,183,-4
test,B,9,all,known_trend,unknown,4,0,0,2,2,0
test,B,9,all,future_response,rising,544,3,7,389,145,-4
test,B,9,all,future_response,falling,767,6,3,602,156,3
test,B,9,all,future_response,stable,611,1,10,518,82,-9
test,B,9,all,future_response,unknown,0,0,0,0,0,0
test,B,9,level_ge_7m,known_trend,rising,94,1,2,33,58,-1
test,B,9,level_ge_7m,known_trend,falling,71,0,0,36,35,0
test,B,9,level_ge_7m,known_trend,stable,70,0,0,44,26,0
test,B,9,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,B,9,level_ge_7m,future_response,rising,94,1,2,32,59,-1
test,B,9,level_ge_7m,future_response,falling,109,0,0,62,47,0
test,B,9,level_ge_7m,future_response,stable,33,0,0,19,14,0
test,B,9,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,10,all,known_trend,rising,339,0,0,238,101,0
test,B,10,all,known_trend,falling,460,0,0,331,129,0
test,B,10,all,known_trend,stable,1117,0,0,855,262,0
test,B,10,all,known_trend,unknown,4,0,0,3,1,0
test,B,10,all,future_response,rising,563,0,0,402,161,0
test,B,10,all,future_response,falling,782,0,0,587,195,0
test,B,10,all,future_response,stable,575,0,0,438,137,0
test,B,10,all,future_response,unknown,0,0,0,0,0,0
test,B,10,level_ge_7m,known_trend,rising,96,0,0,28,68,0
test,B,10,level_ge_7m,known_trend,falling,68,0,0,31,37,0
test,B,10,level_ge_7m,known_trend,stable,71,0,0,30,41,0
test,B,10,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,B,10,level_ge_7m,future_response,rising,99,0,0,27,72,0
test,B,10,level_ge_7m,future_response,falling,112,0,0,53,59,0
test,B,10,level_ge_7m,future_response,stable,25,0,0,9,16,0
test,B,10,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,11,all,known_trend,rising,338,0,0,223,115,0
test,B,11,all,known_trend,falling,460,0,0,336,124,0
test,B,11,all,known_trend,stable,1116,0,0,796,320,0
test,B,11,all,known_trend,unknown,4,0,0,3,1,0
test,B,11,all,future_response,rising,576,0,0,403,173,0
test,B,11,all,future_response,falling,787,0,0,561,226,0
test,B,11,all,future_response,stable,555,0,0,394,161,0
test,B,11,all,future_response,unknown,0,0,0,0,0,0
test,B,11,level_ge_7m,known_trend,rising,97,0,0,27,70,0
test,B,11,level_ge_7m,known_trend,falling,66,0,0,27,39,0
test,B,11,level_ge_7m,known_trend,stable,72,0,0,25,47,0
test,B,11,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,B,11,level_ge_7m,future_response,rising,102,0,0,25,77,0
test,B,11,level_ge_7m,future_response,falling,111,0,0,43,68,0
test,B,11,level_ge_7m,future_response,stable,23,0,0,11,12,0
test,B,11,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,12,all,known_trend,rising,337,0,0,213,124,0
test,B,12,all,known_trend,falling,461,0,0,337,124,0
test,B,12,all,known_trend,stable,1114,0,0,765,349,0
test,B,12,all,known_trend,unknown,4,0,0,2,2,0
test,B,12,all,future_response,rising,587,0,0,413,174,0
test,B,12,all,future_response,falling,784,0,0,547,237,0
test,B,12,all,future_response,stable,545,0,0,357,188,0
test,B,12,all,future_response,unknown,0,0,0,0,0,0
test,B,12,level_ge_7m,known_trend,rising,98,0,0,28,70,0
test,B,12,level_ge_7m,known_trend,falling,66,0,0,25,41,0
test,B,12,level_ge_7m,known_trend,stable,71,0,0,22,49,0
test,B,12,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,B,12,level_ge_7m,future_response,rising,105,0,0,24,81,0
test,B,12,level_ge_7m,future_response,falling,109,0,0,39,70,0
test,B,12,level_ge_7m,future_response,stable,22,0,0,12,10,0
test,B,12,level_ge_7m,future_response,unknown,0,0,0,0,0,0
validation,A,1,all,known_trend,rising,644,0,0,644,0,0
validation,A,1,all,known_trend,falling,510,0,0,510,0,0
validation,A,1,all,known_trend,stable,5287,0,0,5287,0,0
validation,A,1,all,known_trend,unknown,38,0,0,38,0,0
validation,A,1,all,future_response,rising,70,0,0,70,0,0
validation,A,1,all,future_response,falling,0,0,0,0,0,0
validation,A,1,all,future_response,stable,6409,0,0,6409,0,0
validation,A,1,all,future_response,unknown,0,0,0,0,0,0
validation,A,1,level_ge_7m,known_trend,rising,7,0,0,7,0,0
validation,A,1,level_ge_7m,known_trend,falling,8,0,0,8,0,0
validation,A,1,level_ge_7m,known_trend,stable,13,0,0,13,0,0
validation,A,1,level_ge_7m,known_trend,unknown,0,0,0,0,0,0
validation,A,1,level_ge_7m,future_response,rising,3,0,0,3,0,0
validation,A,1,level_ge_7m,future_response,falling,0,0,0,0,0,0
validation,A,1,level_ge_7m,future_response,stable,25,0,0,25,0,0
validation,A,1,level_ge_7m,future_response,unknown,0,0,0,0,0,0
validation,A,2,all,known_trend,rising,646,0,1,640,5,-1
validation,A,2,all,known_trend,falling,510,0,0,509,1,0
validation,A,2,all,known_trend,stable,5283,0,0,5276,7,0
validation,A,2,all,known_trend,unknown,38,0,0,38,0,0
validation,A,2,all,future_response,rising,218,0,1,209,8,-1
validation,A,2,all,future_response,falling,55,0,0,55,0,0
validation,A,2,all,future_response,stable,6204,0,0,6199,5,0
validation,A,2,all,future_response,unknown,0,0,0,0,0,0
validation,A,2,level_ge_7m,known_trend,rising,7,0,0,7,0,0
validation,A,2,level_ge_7m,known_trend,falling,7,0,0,7,0,0
validation,A,2,level_ge_7m,known_trend,stable,14,0,0,14,0,0
validation,A,2,level_ge_7m,known_trend,unknown,0,0,0,0,0,0
validation,A,2,level_ge_7m,future_response,rising,4,0,0,4,0,0
validation,A,2,level_ge_7m,future_response,falling,3,0,0,3,0,0
validation,A,2,level_ge_7m,future_response,stable,21,0,0,21,0,0
validation,A,2,level_ge_7m,future_response,unknown,0,0,0,0,0,0
validation,A,3,all,known_trend,rising,645,1,3,635,6,-2
validation,A,3,all,known_trend,falling,508,0,0,507,1,0
validation,A,3,all,known_trend,stable,5284,5,3,5256,20,2
validation,A,3,all,known_trend,unknown,39,0,0,39,0,0
validation,A,3,all,future_response,rising,372,5,3,348,16,2
validation,A,3,all,future_response,falling,193,0,0,193,0,0
validation,A,3,all,future_response,stable,5911,1,3,5896,11,-2
validation,A,3,all,future_response,unknown,0,0,0,0,0,0
validation,A,3,level_ge_7m,known_trend,rising,7,1,0,6,0,1
validation,A,3,level_ge_7m,known_trend,falling,6,0,0,6,0,0
validation,A,3,level_ge_7m,known_trend,stable,15,0,0,15,0,0
validation,A,3,level_ge_7m,known_trend,unknown,0,0,0,0,0,0
validation,A,3,level_ge_7m,future_response,rising,5,1,0,4,0,1
validation,A,3,level_ge_7m,future_response,falling,6,0,0,6,0,0
validation,A,3,level_ge_7m,future_response,stable,17,0,0,17,0,0
validation,A,3,level_ge_7m,future_response,unknown,0,0,0,0,0,0
validation,A,4,all,known_trend,rising,644,2,2,626,14,0
validation,A,4,all,known_trend,falling,504,0,1,497,6,-1
validation,A,4,all,known_trend,stable,5287,1,2,5257,27,-1
validation,A,4,all,known_trend,unknown,39,0,0,39,0,0
validation,A,4,all,future_response,rising,522,2,2,487,31,0
validation,A,4,all,future_response,falling,300,0,0,297,3,0
validation,A,4,all,future_response,stable,5652,1,3,5635,13,-2
validation,A,4,all,future_response,unknown,0,0,0,0,0,0
validation,A,4,level_ge_7m,known_trend,rising,7,1,0,5,1,1
