phase,horizon_h,contrast,reference,candidate,reference_hits,candidate_hits,change_hits,reference_mae_m,candidate_mae_m,change_mae_m,reference_bias_m,candidate_bias_m,change_bias_m,reference_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,reference_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,4,year108,rain108_original,rain108_augmented,25,25,0,0.27343945144231363,0.29273021943031236,0.019290767987998725,0.14055974427676848,0.22631598965849484,0.08575624538172635,0.7631794467119568,0.8650227348369262,0.10184328812496934,1.0018448604702561,1.1185455064997987,0.11670064602954255
validation,4,rain_with_aux_original,levels45_original,observed_control,27,26,-1,0.13242030278198944,0.16646123882897323,0.0340409360469838,0.03809742234517161,0.001845246880732779,-0.03625217546443883,0.48550126201092364,0.532564298850716,0.04706303683979235,0.5189399170521671,0.560207741268413,0.04126782421624586
validation,4,rain_with_aux_augmented,levels45_augmented,augmented,26,26,0,0.19458015699372772,0.24035275354071603,0.045772596546988314,0.09855901680303705,0.17677014017609885,0.0782111233730618,0.5491295792195182,0.8219883985171228,0.2728588192976046,0.5542125988354503,0.8487322721377595,0.2945196733023092
validation,4,rain_without_aux_original,core_original,rain108_original,22,25,3,0.3125724089794089,0.27343945144231363,-0.03913295753709528,0.19272079773185494,0.14055974427676848,-0.052161053455086454,0.7199875722394385,0.7631794467119568,0.043191874472518266,0.7701679425670251,1.0018448604702561,0.23167691790323097
validation,4,rain_without_aux_augmented,core_augmented,rain108_augmented,25,25,0,0.28383949736198594,0.29273021943031236,0.008890722068326418,0.181172486549043,0.22631598965849484,0.04514350310945184,0.6306014673784797,0.8650227348369262,0.2344212674584465,0.7191871101207665,1.1185455064997987,0.39935839637903214
validation,4,aux_with_rain_original,rain108_original,observed_control,25,26,1,0.27343945144231363,0.16646123882897323,-0.1069782126133404,0.14055974427676848,0.001845246880732779,-0.1387144973960357,0.7631794467119568,0.532564298850716,-0.23061514786124082,1.0018448604702561,0.560207741268413,-0.4416371192018431
validation,4,aux_with_rain_augmented,rain108_augmented,augmented,25,26,1,0.29273021943031236,0.24035275354071603,-0.052377465889596325,0.22631598965849484,0.17677014017609885,-0.04954584948239599,0.8650227348369262,0.8219883985171228,-0.04303433631980336,1.1185455064997987,0.8487322721377595,-0.2698132343620392
validation,4,aux_without_rain_original,core_original,levels45_original,22,27,5,0.3125724089794089,0.13242030278198944,-0.18015210619741948,0.19272079773185494,0.03809742234517161,-0.15462337538668333,0.7199875722394385,0.48550126201092364,-0.2344863102285149,0.7701679425670251,0.5189399170521671,-0.251228025514858
validation,4,aux_without_rain_augmented,core_augmented,levels45_augmented,25,26,1,0.28383949736198594,0.19458015699372772,-0.08925934036825822,0.181172486549043,0.09855901680303705,-0.08261346974600595,0.6306014673784797,0.5491295792195182,-0.08147188815896145,0.7191871101207665,0.5542125988354503,-0.16497451128531626
validation,5,year120,observed_control,augmented,25,25,0,0.2291228510791504,0.32542695173315384,0.09630410065400344,0.009423592718073819,0.3073940587904867,0.2979704660724129,0.7287224414582616,1.1650859520706192,0.43636351061235756,0.7553061347974745,1.2353311810489425,0.4800250462514679
