phase,horizon_h,interaction,left,right,difference_of_effects_hits,difference_of_effects_mae_m,difference_of_effects_max_abs_m
test,10,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-18,-0.08253032429863794,-0.37653604579520206
test,10,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-4,-0.12040891650430274,-0.33477069153623606
test,10,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,12,-0.05253122625172535,-0.2324491534217472
test,11,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,10,-0.0019439876563340786,-0.16726824626384484
test,11,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,10,-0.010514296624654307,0.024318941012897
test,11,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-2,0.042634971460639104,-0.0540990726480608
test,11,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-2,0.034064662492318876,0.13748811462868105
test,11,rain_aux_original,rain_without_aux_original,rain_with_aux_original,13,-0.06143244887908805,-0.5050117498950986
test,11,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,13,-0.052862139910767825,-0.6965989371718404
test,12,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,3,-0.04754903565334523,0.6368209051465374
test,12,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,7,-0.04219686068408146,0.5561699655480119
test,12,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,3,0.014365011508924441,-0.17578052938622157
test,12,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,7,0.01971718647818821,-0.2564314689847471
test,12,rain_aux_original,rain_without_aux_original,rain_with_aux_original,13,-0.05326232112053031,-0.10593553725363414
test,12,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,9,-0.05861449608979408,-0.025284597655108598
