role,period,horizon_h,population,subset,family,observed_targets,pairs,failures,raw_hits,normalized_hits,hits_delta,raw_mae_m,normalized_mae_m,mae_m_delta,raw_bias_m,normalized_bias_m,bias_m_delta,raw_p98_abs_m,normalized_p98_abs_m,p98_abs_m_delta,raw_max_abs_m,normalized_max_abs_m,max_abs_m_delta
original_2025_2026,validation,4,full_schedule,level_ge_7m,original,28,28,0,26,26,0,0.16646123882897323,0.16618220345897536,-0.0002790353699978765,0.001845246880732779,0.01827153500635673,0.01642628812562395,0.532564298850716,0.5354375461168059,0.002873247266089951,0.560207741268413,0.5385516740909324,-0.021656067177480587
original_2025_2026,validation,4,full_schedule,level_ge_7m,plus2020,28,28,0,23,25,2,0.2921228861579999,0.25929759495195964,-0.032825291206040275,0.1828676187884579,0.14359885934496192,-0.039268759443495976,0.6708210096405526,0.6240748519122304,-0.046746157728322135,0.7093898649565311,0.6594312584086452,-0.049958606547885864
original_2025_2026,validation,4,complete24,all,original,5880,5880,0,5859,5859,0,0.051990217427198344,0.05211670900648635,0.00012649157928800586,0.007082108235585423,0.006206972519927409,-0.0008751357156580137,0.26578377883297893,0.26907598983171893,0.0032922109987399972,1.8219056508267162,1.8541260734088905,0.03222042258217428
original_2025_2026,validation,4,complete24,all,plus2020,5880,5880,0,5846,5850,4,0.06029086401861897,0.06012916987896258,-0.00016169413965638757,0.006447970303975127,0.00484072012105308,-0.0016072501829220475,0.2898970845121462,0.2842156098351102,-0.0056814746770360025,1.6104539350157747,1.5809491707457948,-0.029504764269979944
original_2025_2026,validation,4,complete24,level_ge_7m,original,28,28,0,26,26,0,0.16646123882897323,0.16618220345897536,-0.0002790353699978765,0.001845246880732779,0.01827153500635673,0.01642628812562395,0.532564298850716,0.5354375461168059,0.002873247266089951,0.560207741268413,0.5385516740909324,-0.021656067177480587
original_2025_2026,validation,4,complete24,level_ge_7m,plus2020,28,28,0,23,25,2,0.2921228861579999,0.25929759495195964,-0.032825291206040275,0.1828676187884579,0.14359885934496192,-0.039268759443495976,0.6708210096405526,0.6240748519122304,-0.046746157728322135,0.7093898649565311,0.6594312584086452,-0.049958606547885864
original_2025_2026,validation,4,missing24,all,original,634,594,40,572,573,1,0.15070716580384713,0.15146769033081098,0.0007605245269638461,0.08740806206906392,0.08807326146338959,0.0006651993943256745,0.5385478587692857,0.544796721496038,0.006248862726752291,0.7748820108780885,0.7324959047751571,-0.042386106102931365
original_2025_2026,validation,4,missing24,all,plus2020,634,594,40,552,555,3,0.1567135990590616,0.15406223896937496,-0.0026513600896866385,-0.056236496994871384,-0.04987136712876163,0.0063651298661097505,1.0036638627144159,1.0055051553164855,0.0018412926020696663,1.7827902731617415,1.700231612007255,-0.08255866115448662
original_2025_2026,validation,4,missing24,level_ge_7m,original,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,4,missing24,level_ge_7m,plus2020,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,5,full_schedule,all,original,6513,6473,40,6382,6382,0,0.07820434668385372,0.07752281677272503,-0.0006815299111286865,0.014678548804149129,0.013184238123249325,-0.001494310680899804,0.4203568296547843,0.4185237410829687,-0.0018330885718156331,1.9219038154095536,1.959106180173876,0.03720236476432248
