plant,time,field,earlier_m,later_m,delta_m,earlier_collected_at,later_collected_at
JIUHMC,2026-09-20T18:00:00-03:00,val_niveljusante,106.98,106.98,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T17:00:00-03:00,val_nivelmontante,148.96,148.96,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T17:00:00-03:00,val_niveljusante,106.59,106.59,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T16:00:00-03:00,val_nivelmontante,148.98,148.98,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T16:00:00-03:00,val_niveljusante,106.6,106.6,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T15:00:00-03:00,val_nivelmontante,149.0,149.0,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T15:00:00-03:00,val_niveljusante,106.62,106.62,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T14:00:00-03:00,val_nivelmontante,149.04,149.04,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T14:00:00-03:00,val_niveljusante,106.56,106.56,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T13:00:00-03:00,val_nivelmontante,149.06,149.06,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-20T13:00:00-03:00,val_niveljusante,106.44,106.44,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
