phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,6,level_ge_7m,complete24,augmented,5912,28,28,0,25,0.8928571428571429,0.8928571428571429,0.31899240609293583,0.16988423529332763,1.4709449757108284,1.8876763756515116
validation,6,level_ge_7m,missing24,native_control,634,0,0,0,0,,,,,,
validation,6,level_ge_7m,missing24,augmented,634,0,0,0,0,,,,,,
validation,7,all,full_schedule,native_control,6545,6511,6471,40,6159,0.951784886416319,0.9459376439870988,0.13672023312714657,0.05841799343365365,0.6608837932413701,2.794810940153507
validation,7,all,full_schedule,augmented,6545,6511,6471,40,6097,0.9422036779477669,0.9364152971893719,0.20898040610807736,0.1263393538840013,3.198623106650054,4.222292871207433
validation,7,all,complete24,native_control,5912,5884,5884,0,5660,0.9619306594153637,0.9619306594153637,0.12632267706871253,0.05400033590109299,0.5943925194522182,2.794810940153507
validation,7,all,complete24,augmented,5912,5884,5884,0,5579,0.9481645139360979,0.9481645139360979,0.20554884751885566,0.13130315359723277,3.366136751733546,4.222292871207433
validation,7,all,missing24,native_control,633,627,587,40,499,0.8500851788756388,0.79585326953748,0.24094377630913266,0.10269993026770294,1.0498734597155641,1.61686335511456
validation,7,all,missing24,augmented,633,627,587,40,518,0.8824531516183987,0.8261562998405104,0.24337783496494372,0.07658296970571521,1.2152111972896913,3.722874698930699
validation,7,level_ge_7m,full_schedule,native_control,6545,28,28,0,18,0.6428571428571429,0.6428571428571429,0.4275016599210431,0.3297182360213466,1.6964790563889107,2.6556568259868305
validation,7,level_ge_7m,full_schedule,augmented,6545,28,28,0,14,0.5,0.5,0.6287247032197454,0.5984186189779941,2.8704950990190197,3.1438582931485106
validation,7,level_ge_7m,complete24,native_control,5912,28,28,0,18,0.6428571428571429,0.6428571428571429,0.4275016599210431,0.3297182360213466,1.6964790563889107,2.6556568259868305
validation,7,level_ge_7m,complete24,augmented,5912,28,28,0,14,0.5,0.5,0.6287247032197454,0.5984186189779941,2.8704950990190197,3.1438582931485106
validation,7,level_ge_7m,missing24,native_control,633,0,0,0,0,,,,,,
validation,7,level_ge_7m,missing24,augmented,633,0,0,0,0,,,,,,
validation,8,all,full_schedule,native_control,6544,6510,6470,40,5980,0.9242658423493045,0.9185867895545314,0.1737857161039854,0.07021685907380332,0.8389279903809922,2.692538070308298
validation,8,all,full_schedule,augmented,6544,6510,6470,40,5923,0.9154559505409583,0.9098310291858679,0.25528570027138114,0.15268018001095757,3.4652744899999806,4.696446575043877
validation,8,all,complete24,native_control,5912,5882,5882,0,5488,0.9330159809588575,0.9330159809588575,0.16373304279968726,0.06906971449483204,0.7926993911674007,2.692538070308298
validation,8,all,complete24,augmented,5912,5882,5882,0,5455,0.9274056443386604,0.9274056443386604,0.25012717964324027,0.15696684153738072,3.9397337239511807,4.696446575043877
validation,8,all,missing24,native_control,632,628,588,40,492,0.8367346938775511,0.7834394904458599,0.274346641913308,0.08169220671582561,1.1132679089908313,1.6334763345769154
validation,8,all,missing24,augmented,632,628,588,40,468,0.7959183673469388,0.7452229299363057,0.3068884525413215,0.10979898426534347,1.2601670232105688,3.8468317780757917
validation,8,level_ge_7m,full_schedule,native_control,6544,28,28,0,20,0.7142857142857143,0.7142857142857143,0.4882291267479996,0.34922148163674116,2.4609671216876006,2.5050304061770072
validation,8,level_ge_7m,full_schedule,augmented,6544,28,28,0,13,0.4642857142857143,0.4642857142857143,0.843007084068548,0.7048883119826345,2.8892859735094114,3.007068766222681
validation,8,level_ge_7m,complete24,native_control,5912,28,28,0,20,0.7142857142857143,0.7142857142857143,0.4882291267479996,0.34922148163674116,2.4609671216876006,2.5050304061770072
validation,8,level_ge_7m,complete24,augmented,5912,28,28,0,13,0.4642857142857143,0.4642857142857143,0.843007084068548,0.7048883119826345,2.8892859735094114,3.007068766222681
validation,8,level_ge_7m,missing24,native_control,632,0,0,0,0,,,,,,
validation,8,level_ge_7m,missing24,augmented,632,0,0,0,0,,,,,,
validation,9,all,full_schedule,native_control,6543,6509,6470,39,5862,0.9060278207109738,0.9005991703794746,0.20975928763948337,0.0968513378323692,0.9493061748169647,3.5173872091375897
validation,9,all,full_schedule,augmented,6543,6509,6470,39,5770,0.8918083462132921,0.8864648947611,0.2981333710708982,0.17072167102799876,4.188385991368047,5.030429197319773
validation,9,all,complete24,native_control,5912,5883,5883,0,5395,0.9170491245962944,0.9170491245962944,0.19830282013669204,0.09168644836336785,0.8676598035546202,3.5173872091375897
validation,9,all,complete24,augmented,5912,5883,5883,0,5318,0.9039605643379228,0.9039605643379228,0.29206167468798633,0.17254599479687424,4.359063484889328,5.030429197319773
validation,9,all,missing24,native_control,631,626,587,39,467,0.7955706984667802,0.7460063897763578,0.32457768341277304,0.14861461678660254,1.2432749814772845,1.956957320537746
validation,9,all,missing24,augmented,631,626,587,39,452,0.7700170357751278,0.7220447284345048,0.35898480177050696,0.15243803093891103,1.334839373991404,4.418852735151111
