phase,profile,horizon_h,subset,reference,observed_targets,failures,reference_hits,aged_hits,delta_hits,reference_mae_m,aged_mae_m,delta_mae_m,reference_max_m,aged_max_m
validation,A,1,all,mixed_profile_candidate,6517,38,6479,6479,0,0.021606830119421078,0.021132618667268607,-0.0004742114521524704,0.4674960533101764,0.46717852878991106
validation,A,1,all,profile_A_control,6517,38,6478,6479,1,0.018855942070563906,0.021132618667268607,0.0022766765967047013,0.534506660393788,0.46717852878991106
validation,A,1,level_ge_7m,mixed_profile_candidate,28,0,28,28,0,0.054957800373323,0.054658105440163904,-0.0002996949331590948,0.1945792356276197,0.18993056409348874
validation,A,1,level_ge_7m,profile_A_control,28,0,28,28,0,0.07493645979101636,0.054658105440163904,-0.020278354350852457,0.34802134846687416,0.18993056409348874
validation,A,2,all,mixed_profile_candidate,6516,39,6464,6463,-1,0.035065751551275746,0.03440230165923627,-0.0006634498920394735,0.785102284292053,0.7563673096544654
validation,A,2,all,profile_A_control,6516,39,6465,6463,-2,0.029287944206221363,0.03440230165923627,0.00511435745301491,0.9411562625519316,0.7563673096544654
validation,A,2,level_ge_7m,mixed_profile_candidate,28,0,28,28,0,0.08590108691375604,0.08659250139833971,0.0006914144845836662,0.27715664018348996,0.3247863190775284
validation,A,2,level_ge_7m,profile_A_control,28,0,27,28,1,0.12841387834886395,0.08659250139833971,-0.041821376950524236,0.5606239922930918,0.3247863190775284
validation,A,3,all,mixed_profile_candidate,6515,39,6443,6443,0,0.054678652726520297,0.053539363599441246,-0.0011392891270790503,1.314016201925865,1.250597331129927
validation,A,3,all,profile_A_control,6515,39,6455,6443,-12,0.042127949230368625,0.053539363599441246,0.011411414369072621,1.0656813535760117,1.250597331129927
validation,A,3,level_ge_7m,mixed_profile_candidate,28,0,27,28,1,0.1588675016157101,0.16456456528201505,0.005697063666304958,0.5173751411729839,0.48439100397813384
validation,A,3,level_ge_7m,profile_A_control,28,0,25,28,3,0.21358110024044344,0.16456456528201505,-0.04901653495842839,0.758133917521528,0.48439100397813384
validation,A,4,all,mixed_profile_candidate,6514,40,6424,6422,-2,0.07356618964141907,0.07117924938542618,-0.0023869402559928976,1.3871564896024218,1.4088162669919653
validation,A,4,all,profile_A_control,6514,40,6435,6422,-13,0.05415787569378713,0.07117924938542618,0.017021373691639044,1.2459259347996063,1.4088162669919653
validation,A,4,level_ge_7m,mixed_profile_candidate,28,0,24,25,1,0.21140614165183821,0.19424546232505246,-0.01716067932678575,0.6336270952243961,0.6653048402135848
validation,A,4,level_ge_7m,profile_A_control,28,0,24,25,1,0.22223341858847898,0.19424546232505246,-0.02798795626342651,0.9110348907321271,0.6653048402135848
validation,A,5,all,mixed_profile_candidate,6513,40,6400,6397,-3,0.08619815160469473,0.08590113544629721,-0.0002970161583975145,1.2078675340898029,1.2143707558062626
validation,A,5,all,profile_A_control,6513,40,6408,6397,-11,0.07382290962315642,0.08590113544629721,0.01207822582314079,1.2832983020879674,1.2143707558062626
