phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,p90_abs_m3_s,p98_abs_m3_s,max_abs_m3_s,rmse_m3_s
test,all,reference,5,1963,142.95815257997202,31.53174230185826,267.7565216809251,496.35071811504156,6992.49466895593,364.0544617514022
test,all,reference,6,1962,152.18779693354395,33.641187682604354,270.99286244014104,576.7136023963449,6629.034737206933,383.0162932036066
test,all,reference,7,1961,164.02947536205133,34.749537016949056,283.5442741320512,660.3367555020318,7042.648750530315,422.3549530262636
test,all,reference,8,1960,176.66396616251455,34.50914096385976,293.8210771519533,703.6643895008863,7285.60583848516,460.56794221087574
test,all,reference,9,1959,188.51439374762,33.53286575788844,307.47095708375576,881.6247192200501,7732.903594347952,489.3740984739145
test,all,reference,10,1958,200.63648319571848,31.50292021793916,323.66086071054707,1092.221750054414,7626.503207725082,513.1482050877675
test,all,reference,11,1957,215.04343731293793,29.19047832591828,344.2693626676173,1281.6645967764694,8160.6119795777795,551.1810558713926
test,all,conditional,0,1968,39.32902535479317,4.3188481156594305,111.24000773520709,249.73722846293683,747.6062867426567,75.63359606322167
test,all,conditional,1,1967,66.41408986925545,10.816125505799837,201.1505736807731,292.01836597320215,717.6345164862014,107.62885304265694
test,all,conditional,2,1966,86.97387553738054,17.66036155278095,235.3321271272972,327.1594470991984,954.587941407648,129.88492616796398
test,all,conditional,3,1965,102.87172709655007,22.994672887950845,251.92223526016107,357.58288933054087,1251.706930912148,150.50702072010603
test,all,conditional,4,1964,114.80810222323346,27.442207964263456,257.0757485659311,396.559815613138,1427.3129458800095,170.25725878321427
test,all,conditional,5,1963,124.62423618746374,30.678841057092562,265.12368573580795,441.00413610560685,1713.6623966887182,193.96850070870775
test,all,conditional,6,1962,133.1271928138829,32.72226704343956,268.8764522449633,494.1476431824408,2361.631325660247,220.44935291000675
test,all,conditional,7,1961,143.3197918443031,33.73827525702502,281.0464350453519,511.78856485874866,2700.5174718052344,251.10704389659284
test,all,conditional,8,1960,154.87940582598836,33.37125463902971,291.08893406834466,628.8454640944353,3069.329726028845,285.35769976762793
test,all,conditional,9,1959,166.7320647368877,32.300208326472635,304.9507870947676,710.2981151357579,3232.284889548459,321.34081797539585
test,all,conditional,10,1958,179.2722018742117,30.154916176812634,321.35600746542946,827.600058697404,3737.5133094403295,359.0209764558615
test,all,conditional,11,1957,192.95636055247073,27.416828098872312,342.29626120672197,892.0128411559646,4286.18407611883,397.09926378422506
test,high_flow,reference,0,271,99.45793414733377,-6.4336978307062065,235.6382943546305,613.9010592961685,1523.6076148146713,204.09013344511882
test,high_flow,reference,1,271,174.22739451345294,-12.398501091501496,301.93209469611907,1572.6103980603616,3318.9113211568038,429.0590455694105
