phase,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,4,missing_upstream18,level_ge_7m,hourly_control,604,18,96,95,1,65,0.6842105263157895,0.6770833333333334,0.6186647960273133,-0.2205322015915019,4.36234741238627,4.948287514603261
test,4,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,96,95,1,67,0.7052631578947368,0.6979166666666666,0.6242635532987708,-0.2170226423451763,4.513058099642929,5.131503932182897
test,5,full_schedule,all,hourly_control,1963,23,1940,1928,12,1822,0.9450207468879668,0.9391752577319588,0.1664160549367453,-0.009847962892664252,0.8735319140107765,5.449247976601654
test,5,full_schedule,all,hourly_plus2018,1963,23,1940,1928,12,1828,0.9481327800829875,0.9422680412371134,0.16018541111219706,-0.005360140997382358,0.856962242798255,5.196591924339362
test,5,full_schedule,level_ge_7m,hourly_control,1963,23,237,236,1,164,0.6949152542372882,0.6919831223628692,0.5314847360216167,-0.1437214140434912,3.451776713811144,5.449247976601654
test,5,full_schedule,level_ge_7m,hourly_plus2018,1963,23,237,236,1,169,0.7161016949152542,0.7130801687763713,0.5022325971930114,-0.0879081669599026,3.0931993925023,5.196591924339362
test,5,complete_upstream18,all,hourly_control,1359,5,1354,1353,1,1300,0.9608277900960828,0.9601181683899557,0.13529578702463363,-0.00014482439803065758,0.6912759719998988,1.6428128830190545
test,5,complete_upstream18,all,hourly_plus2018,1359,5,1354,1353,1,1305,0.9645232815964523,0.9638109305760709,0.1337468022029717,0.006209238577921748,0.636862808135923,1.4103130363589482
test,5,complete_upstream18,level_ge_7m,hourly_control,1359,5,140,140,0,111,0.7928571428571428,0.7928571428571428,0.324064437876407,-0.04231680910313127,1.1725721196583174,1.6428128830190545
test,5,complete_upstream18,level_ge_7m,hourly_plus2018,1359,5,140,140,0,113,0.8071428571428572,0.8071428571428572,0.32212167159624483,-0.0005060245128745589,1.2373454446922305,1.4103130363589482
test,5,missing_upstream18,all,hourly_control,604,18,586,575,11,522,0.9078260869565218,0.8907849829351536,0.23964339838907064,-0.03267986964612383,1.8271723981632724,5.449247976601654
test,5,missing_upstream18,all,hourly_plus2018,604,18,586,575,11,523,0.9095652173913044,0.8924914675767918,0.22239660738033948,-0.03258339415457618,1.4843979576952886,5.196591924339362
test,5,missing_upstream18,level_ge_7m,hourly_control,604,18,97,96,1,53,0.5520833333333334,0.5463917525773195,0.8339726708167143,-0.2916031295815162,5.052373592597469,5.449247976601654
test,5,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,97,96,1,56,0.5833333333333334,0.5773195876288659,0.764894363688296,-0.21536962469515183,4.745680593562636,5.196591924339362
test,6,full_schedule,all,hourly_control,1962,23,1939,1926,13,1752,0.9096573208722741,0.9035585353274884,0.21819825599759762,-0.031030620214782558,1.1601681220676863,6.285061155174133
test,6,full_schedule,all,hourly_plus2018,1962,23,1939,1926,13,1751,0.9091381100726895,0.9030428055698814,0.2124266005586585,-0.03413911058868859,1.1155514738141141,5.873246437072108
test,6,full_schedule,level_ge_7m,hourly_control,1962,23,237,236,1,151,0.6398305084745762,0.6371308016877637,0.6573286391827966,-0.20794281785146262,4.569277980490189,6.285061155174133
test,6,full_schedule,level_ge_7m,hourly_plus2018,1962,23,237,236,1,156,0.6610169491525424,0.6582278481012658,0.6199889547214076,-0.16237657164774885,4.316152260961731,5.873246437072108
test,6,complete_upstream18,all,hourly_control,1358,5,1353,1352,1,1246,0.9215976331360947,0.9209164818920916,0.18504254316121527,-0.017699624111202693,0.8817151878085425,1.7171986777451629
test,6,complete_upstream18,all,hourly_plus2018,1358,5,1353,1352,1,1249,0.9238165680473372,0.9231337767923133,0.18309296903558556,-0.01663904237305322,0.852401713353307,1.7406104871978663
test,6,complete_upstream18,level_ge_7m,hourly_control,1358,5,140,140,0,102,0.7285714285714285,0.7285714285714285,0.4103534861215363,-0.06414034819932025,1.4665581728608477,1.7171986777451629
test,6,complete_upstream18,level_ge_7m,hourly_plus2018,1358,5,140,140,0,105,0.75,0.75,0.378949851948285,-0.02829615058190604,1.4629412371496613,1.7406104871978663
test,6,missing_upstream18,all,hourly_control,604,18,586,574,12,506,0.8815331010452961,0.863481228668942,0.29629324511743904,-0.06243045772704734,2.4306695989872007,6.285061155174133
test,6,missing_upstream18,all,hourly_plus2018,604,18,586,574,12,502,0.8745644599303136,0.856655290102389,0.2815190566896595,-0.07535878345896563,2.3462216415825266,5.873246437072108
test,6,missing_upstream18,level_ge_7m,hourly_control,604,18,97,96,1,49,0.5104166666666666,0.5051546391752577,1.0175007373971345,-0.41765475276083697,5.762427658041396,6.285061155174133
test,6,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,97,96,1,51,0.53125,0.5257731958762887,0.9715043129322115,-0.3579105190354363,5.542905724486927,5.873246437072108
test,7,full_schedule,all,hourly_control,1961,23,1938,1924,14,1681,0.8737006237006237,0.8673890608875129,0.2715935998795882,-0.012187187945870096,1.4669618084032212,5.741668726661139
